original_question,masked_question,nouns,noun_count
"Miranda wasn't sure about what she was doing, she just knew that she couldn't stop moving her smelly feet. This was a problem, because she was told to do what?",Miranda () () sure () () () () () () () () knew () () () () stop moving () smelly feet () () () () problem () () () () told () do () (),"['Miranda', 'sure', 'doing', 'knew', 'stop', 'moving', 'smelly', 'feet', 'problem', 'do']",10
"The police busted down his door, he realized only then he was just the pawn in his partner's grander what?",() police busted () () door () () realized () () () () () () pawn () () partner () grander () (),"['police', 'busted', 'door', 'realized', 'pawn', 'partner', 'grander']",7
What kind of wine list can I expect to see in Paris?,() kind () wine list () () expect () see () Paris (),"['kind', 'wine', 'list', 'expect', 'see', 'Paris']",6
What performance is expected of a student in school sessions?,() performance () expected () () student () school sessions (),"['performance', 'expected', 'student', 'school', 'sessions']",5
"The man was crass and rude, all the what in the office filed a complaint together?",() man () crass () rude () () () () () () office filed () complaint () (),"['man', 'crass', 'rude', 'office', 'filed', 'complaint']",6
If a human is sleepy what can they do to feel more alert?,() () human () sleepy () () () do () feel () alert (),"['human', 'sleepy', 'do', 'feel', 'alert']",5
"When a person is convicted of committing murder, what happend to them?",() () person () convicted () committing murder () () happend () () (),"['person', 'convicted', 'committing', 'murder', 'happend']",5
What is the hope of going fishing?,() () () hope () going fishing (),"['hope', 'going', 'fishing']",3
What does reading letters produce when one is unaware of a condition?,() () reading letters produce () () () unaware () () condition (),"['reading', 'letters', 'produce', 'unaware', 'condition']",5
Everyone is ordinary but we are often told we are what?,Everyone () ordinary () () () () told () () () (),"['Everyone', 'ordinary', 'told']",3
"If there are people watching a priest, what is he doing?",() () are people watching () priest () () () () doing (),"['are', 'people', 'watching', 'priest', 'doing']",5
What old models are likely to be made of wood?,() old models () likely () () made () wood (),"['old', 'models', 'likely', 'made', 'wood']",5
"If an apple tree were in the North, where would it be?",() () apple tree () () () North () () () () () (),"['apple', 'tree', 'North']",3
"The bald eagle has been a protected species, this is in part due to a dwindling what?",() bald eagle () () () protected species () () () () part () () () dwindling () (),"['bald', 'eagle', 'protected', 'species', 'part', 'dwindling']",6
What could you add a line to?,() () () add () line () (),"['add', 'line']",2
Going in an air conditioned room to cool off is a good way to get what from hot weather?,Going () () air conditioned room () cool () () () good way () () () () hot weather (),"['Going', 'air', 'conditioned', 'room', 'cool', 'good', 'way', 'hot', 'weather']",9
Where might a snake drop from?,() () () snake drop () (),"['snake', 'drop']",2
"Sam treasured his freedom.  When he became a POW, he tried to escape from what?",Sam treasured () freedom () () () became () POW () () tried () escape () () (),"['Sam', 'treasured', 'freedom', 'became', 'POW', 'tried', 'escape']",7
"Though nearby, an apple from an apple tree where would be an imported product to the USA?",() () () () apple () () apple tree () () () () imported product () () USA (),"['apple', 'apple', 'tree', 'imported', 'product', 'USA']",6
"If a cottage is above the cloud line, where is it?",() () cottage () () () cloud line () () () () (),"['cottage', 'cloud', 'line']",3
What do most people hope to achieve when playing sports?,() () most people hope () achieve () playing sports (),"['most', 'people', 'hope', 'achieve', 'playing', 'sports']",6
When you haven't seen someone since they were young and years have passed what has happened to them?,() () () () seen someone () () () young () years () passed () () happened () () (),"['seen', 'someone', 'young', 'years', 'passed', 'happened']",6
"The man wanted a new ottoman, so where did he look?",() man wanted () new ottoman () () () () () look (),"['man', 'wanted', 'new', 'ottoman', 'look']",5
