original_question,masked_question,generated_question,matched,similarity_score
"A fluorescent molecule of 1,000 daltons injected into one cell is observed to enter an adjacent cell by passing through a",() fluorescent molecule () () daltons injected () () cell () observed () enter () () cell () passing () (),"Here is the completed question with the masked sections replaced:

The green fluorescent protein is a small (26,000 daltons) protein that can be injected into a living (eukaryotic cell) and observed as it enters and moves within the (cytoplasm of the cell), eventually passing through the (nuclear pores).",False,32
Which of the following is not a true statement?,() () () following () () () true statement (),"Here is the completed question with the masked words replaced:

The three following words form a true statement: sky is blue",False,42
Surveys of older adults who are living together show that they tend to view cohabitation as,Surveys () older adults () () living () show () () tend () view cohabitation (),Surveys among older adults in rural areas living alone show that they often tend to view cohabitation negatively.,False,78
"Third-year student is studying contracts. He has learned that generally all contractual rights may be assigned, but there are some exceptions. Which of the following is not an exception?",Third () () student () studying contracts () () () learned () () () contractual rights () () assigned () () () are () exceptions () () () () following () () () exception (),"Third year law student while studying contracts and assignments learned that contractual rights can be assigned but there are some exceptions to this general rule, the following being an exception:",False,79
The particular quality of the U.S. health care system is its:,() particular quality () () U.S. health care system () () (),What particular quality of the U.S. health care system concerns you the most?,True,81
"A 15-year-old male presents to the office with the complaint of painless swelling in the left testicle that has varied in size over the past several months. There is no history of trauma. The lesion transilluminates well, and no inguinal nodes are palpable. Findings from a testicular scan are normal. The most appropriate management includes",() () () year () old () presents () () office () () () () painless swelling () () left testicle () () varied () size () () past several months () () is () history () trauma () () lesion transilluminates () () () () inguinal nodes () palpable () Findings () () testicular scan () normal () () () appropriate management includes,"Here is the completed question with the masked words replaced:

A 25 year old man presents to the office with a painless swelling of his left testicle that has varied in size over the past several months. There is no history of trauma. The lesion transilluminates and there are no inguinal nodes palpable. Findings on a testicular scan are normal. The most appropriate management includes",True,80
"A sister and brother own a ranch as joint tenants. If the sister transfers her interest by quitclaim deed to her friend without the brother's knowledge, what interest, if any, does the friend have in the ranch?",() sister () () own () ranch () joint tenants () () () sister transfers () interest () quitclaim deed () () friend () () brother () knowledge () () interest () () () () () () friend have () () ranch (),"If a sister and her brother co-own a ranch as joint tenants, and the sister transfers her interest by quitclaim deed to her friend without her brother's knowledge, does the friend have an interest in the ranch?",True,80
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I buy dog food to feed my neighbors dog. Scenario 2 | I ate the produce after paying.",() () () () () () () () () character () () uses () () () () () () do something () () wrong () according () ordinary moral standards () () US () () () () Scenario () () () buy dog food () feed () neighbors dog () Scenario () () () ate () produce () paying (),"Here is the question with the masked sections completed:

A morally ambiguous character often uses questionable means to do something not wrong according to ordinary moral standards in the US. In one Scenario, they might buy dog food to feed their neighbor's dog. In another Scenario, they might have eaten some produce without paying for it.",False,23
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I spent my afternoon peeing in the pool. Scenario 2 | I briefly shouted to my friend in the public theater as the movie played.",() () () () () scenarios () () main character () () () () () () () () () do something () () () () according () ordinary moral standards () () US () () () () Scenario () () () spent () afternoon peeing () () pool () Scenario () () () () shouted () () friend () () public theater () () movie played (),"Here is the question with the masked sections replaced:

In the following scenarios involving the main character's actions, would you consider it morally acceptable for them to do something unethical or illegal according to ordinary moral standards in the US? Scenario 1: John spent the afternoon peeing in a public pool. Scenario 2: Sarah loudly shouted obscenities at her friend during a public theater when a movie played.",False,18
"A manager's competitor sent a defamatory letter to the manager accusing him of professional incompetence and calling him one of the worst businessmen in town. It was addressed to the manager. He read it, put it in a private drawer, and did not read it again. Later, he tried to sue the competitor for defamation as a result of the letter. Will the court likely grant the defendant's motion to dismiss, and on what grounds? Base your answer on the common law definition of defamation.",() manager () competitor sent () () letter () () manager accusing () () professional incompetence () () () () () () worst businessmen () town () () () addressed () () manager () () read () () put () () () private drawer () () () () read () () () () () () tried () sue () competitor () defamation () () result () () letter () () () court () grant () defendant () motion () dismiss () () () () grounds () Base () answer () () common law definition () defamation (),"Here is the question with the masked words completed:

A business manager's competitor sent a scathing letter to the manager accusing him of professional incompetence and calling him one of the worst businessmen in town. The letter was addressed to the manager but was read by his assistant who put it in a private drawer without the manager ever reading it. The competitor then tried to sue the manager for defamation but as a result of the letter never reaching the manager, the court had to grant the defendant's motion to dismiss the case on the grounds of lack of publication. Base your answer on the common law definition of defamation.",False,7
