Unnamed: 0.1,Unnamed: 0,id,question,question_concept,choices,answerKey,answer_options_formatted,answer,choices_copy,masked_options,question_answer,masked_question,masked_word_answer,extracted_terms,rel_info_generated,leakage_in_bucket,can_be_data_leakage,seen_terms
0,8773,37eb54ff6dcbbdb70d12b7e5a1dab9e3,"Miranda wasn't sure about what she was doing, she just knew that she couldn't stop moving her smelly feet. This was a problem, because she was told to do what?",feet,"['shoes', 'stay still', 'hands', 'walk', 'stink']",B,"A: shoes
B: stay still
C: hands
D: walk
E: stink",staystill,"['shoes', 'stay still', '', 'walk', 'stink']",['hands'],"Question: Miranda wasn't sure about what she was doing, she just knew that she couldn't stop moving her smelly feet. This was a problem, because she was told to do what?
Answer:
A: shoes
B: stay still
C: 
D: walk
E: stink","Miranda wasn't sure about what she was doing, she just knew that she couldn't stop moving her smelly feet. This was a (), because she was told to do what?",problem,"['smelly feet', 'doing', 'stop', 'feet', 'problem', 'do']","Having smelly feet can be a common problem that many people experience. If you find yourself dealing with this issue, there are several things you can do to address it. One approach is to ensure you are regularly washing your feet with soap and water, especially focusing on areas like between the toes where bacteria can thrive. Additionally, wearing clean socks made of breathable materials and rotating your shoes to allow them to air out can also help reduce foot odor. If these measures do not seem to be effective, consulting a healthcare professional for further advice and potential treatment options may be necessary to stop the problem of smelly feet.",,False,compulsion
1,6125,5abe81200fb6d4d0ff7f1d9862116292,"The police busted down his door, he realized only then he was just the pawn in his partner's grander what?",pawn,"['scheme', 'chess game', 'chess set', 'business idea', 'playing chess']",A,"A: scheme
B: chess game
C: chess set
D: business idea
E: playing chess",scheme,"['scheme', 'chess game', 'chess set', 'business idea', '']",['playing chess'],"Question: The police busted down his door, he realized only then he was just the pawn in his partner's grander what?
Answer:
A: scheme
B: chess game
C: chess set
D: business idea
E: ","The police busted down his (), he realized only then he was just the pawn in his partner's grander what?",door,,,Seen Q,True,door
2,8387,391027d47b89cc2fd2017a865f99ccec,What kind of wine list can I expect to see in Paris?,wine list,"['restaurant', 'french', 'boston', 'canadian', 'resturant']",B,"A: restaurant
B: french
C: boston
D: canadian
E: resturant",french,"['restaurant', 'french', 'boston', 'canadian', '']",['resturant'],"Question: What kind of wine list can I expect to see in Paris?
Answer:
A: restaurant
B: french
C: boston
D: canadian
E: ",What () of wine list can I expect to see in Paris?,kind,,,Seen Q,True,kind
3,7151,246fa25105a6893de75b0016a830a183,What performance is expected of a student in school sessions?,student,"['michigan', 'pass course', 'better grade', 'ask questions', 'study history']",B,"A: michigan
B: pass course
C: better grade
D: ask questions
E: study history",passcourse,"['michigan', 'pass course', 'better grade', 'ask questions', '']",['study history'],"Question: What performance is expected of a student in school sessions?
Answer:
A: michigan
B: pass course
C: better grade
D: ask questions
E: ",What () is expected of a student in school sessions?,performance,"['school sessions', 'expected', 'school']","School sessions refer to the designated periods during which students attend classes and engage in learning activities at a school. These sessions are typically structured according to a set schedule and are expected to be attended by all enrolled students. The expected attendance at school sessions is crucial for students to receive a comprehensive education and meet academic requirements. Regular participation in school sessions allows students to interact with teachers, peers, and educational resources, facilitating their learning and overall development. Additionally, schools often have specific guidelines regarding attendance and participation in school sessions to ensure that students benefit fully from their educational experience.",,False,behavior
4,9605,720f00ce6f63996210e40d6ed37a1653,"The man was crass and rude, all the what in the office filed a complaint together?",man,"['lady', 'wifes husband', 'women', 'her', 'female person']",C,"A: lady
B: wifes husband
C: women
D: her
E: female person",women,"['lady', 'wifes husband', 'women', 'her', '']",['female person'],"Question: The man was crass and rude, all the what in the office filed a complaint together?
Answer:
A: lady
B: wifes husband
C: women
D: her
E: ","The () was crass and rude, all the what in the office filed a complaint together?",man,"['man', 'complaint', 'together']","A man walked into the customer service department with a complaint about a recent purchase. He explained that he had bought a faulty product and was frustrated with the lack of response from the company. The customer service representative listened attentively and assured the man that they would work together to resolve the issue promptly. By collaborating and addressing the complaint together, they were able to find a satisfactory solution that left the man feeling valued and heard.",,False,staff
5,324,2712fa7029d5a0d3325792eb0ab4bda1,If a human is sleepy what can they do to feel more alert?,human,"['dream dreams', 'think critically', 'cross road', 'drink coffee', 'drive a car']",D,"A: dream dreams
B: think critically
C: cross road
D: drink coffee
E: drive a car",drinkcoffee,"['dream dreams', '', 'cross road', 'drink coffee', 'drive a car']",['think critically'],"Question: If a human is sleepy what can they do to feel more alert?
Answer:
A: dream dreams
B: 
C: cross road
D: drink coffee
E: drive a car",If a human is sleepy what can they do to feel more ()?,alert,"['feel', 'more', 'alert']","Feeling alert is a state of heightened awareness and mental acuity, where individuals are more responsive and attentive to their surroundings. When we feel more alert, our senses are sharpened, and our cognitive functions are optimized, allowing us to react quickly and effectively to stimuli. This heightened state of alertness can be beneficial in various situations, such as when driving, working on important tasks, or engaging in activities that require focus and concentration. By being more alert, individuals can enhance their performance and productivity, leading to better outcomes and increased efficiency in their daily lives.",,False,Awake
6,7205,b6a2c0d1f8e0d032f65580d1a0960078,"When a person is convicted of committing murder, what happend to them?",committing murder,"['go to jail', 'imprisonment', 'sadness', 'prosecution', 'incarceration']",E,"A: go to jail
B: imprisonment
C: sadness
D: prosecution
E: incarceration",incarceration,"['go to jail', 'imprisonment', 'sadness', '', 'incarceration']",['prosecution'],"Question: When a person is convicted of committing murder, what happend to them?
Answer:
A: go to jail
B: imprisonment
C: sadness
D: 
E: incarceration","When a () is convicted of committing murder, what happend to them?",person,"['committing', 'murder', 'happend']","Committing murder is a serious criminal offense that involves unlawfully causing the death of another person. When a person is accused of committing murder, it means they are alleged to have intentionally taken someone else's life. The act of murder can happen under various circumstances, such as premeditated planning or in the heat of the moment during a confrontation. Investigations into a murder typically involve gathering evidence, interviewing witnesses, and building a case to determine the perpetrator and bring them to justice. The consequences for committing murder are severe, often resulting in lengthy prison sentences or even capital punishment in some jurisdictions. It is crucial for law enforcement agencies and legal systems to thoroughly investigate and prosecute cases of murder to ensure justice for the victims and their families.",Relevent Info,True,criminal
7,5142,47f102575469628bf3ab688dfaf3938a,What is the hope of going fishing?,fishing,"['getting food', 'wet clothes', 'getting drunk', 'catching fish', 'wetness']",D,"A: getting food
B: wet clothes
C: getting drunk
D: catching fish
E: wetness",catchingfish,"['', 'wet clothes', 'getting drunk', 'catching fish', 'wetness']",['getting food'],"Question: What is the hope of going fishing?
Answer:
A: 
B: wet clothes
C: getting drunk
D: catching fish
E: wetness",What is the hope of going ()?,fishing,"['hope', 'going']","Hope is a powerful force that drives individuals to keep going despite challenges and obstacles. It serves as a beacon of light in times of darkness, inspiring people to persevere and strive for a better future. When faced with adversity, maintaining hope can provide the strength and motivation needed to keep going and overcome difficulties. It is this unwavering belief in a positive outcome that fuels resilience and determination, guiding individuals towards their goals and dreams. In essence, hope is the fuel that propels us forward on our journey, reminding us that no matter how tough the road may seem, as long as we hold onto hope, we can keep going.",,False,there
8,6009,3498dae098e748ef3c2c3894896d16ac,What does reading letters produce when one is unaware of a condition?,reading letter,"['laughter', 'strain', 'realization', 'enlightenment', 'happiness']",C,"A: laughter
B: strain
C: realization
D: enlightenment
E: happiness",realization,"['laughter', '', 'realization', 'enlightenment', 'happiness']",['strain'],"Question: What does reading letters produce when one is unaware of a condition?
Answer:
A: laughter
B: 
C: realization
D: enlightenment
E: happiness",What does reading letters produce when one is unaware of a ()?,condition,"['reading', 'unaware', 'condition']","Reading is a fundamental skill that many people engage in daily, whether for work, education, or leisure. However, some individuals may be unaware that they have a condition that affects their ability to read effectively. This condition could be dyslexia, a learning disorder that impacts reading and language processing. It is essential for individuals who struggle with reading to seek proper assessment and support to address any underlying conditions that may be hindering their reading abilities. By becoming aware of such conditions and seeking appropriate interventions, individuals can improve their reading skills and overall quality of life.",Relevent Info,True,Word
9,1887,b9c088cfe0e2c07886896d922ce7c698,Everyone is ordinary but we are often told we are what?,ordinary,"['unbelievable', 'strange', 'special', 'ugly', 'exceptional']",C,"A: unbelievable
B: strange
C: special
D: ugly
E: exceptional",special,"['unbelievable', '', 'special', 'ugly', 'exceptional']",['strange'],"Question: Everyone is ordinary but we are often told we are what?
Answer:
A: unbelievable
B: 
C: special
D: ugly
E: exceptional",Everyone is () but we are often told we are what?,ordinary,"['ordinary', 'often']","In our daily lives, we encounter numerous ordinary tasks and activities that we often overlook or take for granted. These ordinary routines, such as commuting to work, preparing meals, or doing household chores, may seem mundane or unremarkable. However, it is important to recognize that it is often within these seemingly ordinary moments that we find opportunities for growth, reflection, and connection with others. By appreciating the significance of the ordinary and embracing the moments that often go unnoticed, we can cultivate a deeper sense of mindfulness and gratitude in our lives.",,False,Unique
10,1507,98f35feb6c39efba204fa9d9d1a73dc3,"If there are people watching a priest, what is he doing?",priest,"['on trial', 'drink coffee', 'believe in god', 'baptise', 'say mass']",E,"A: on trial
B: drink coffee
C: believe in god
D: baptise
E: say mass",saymass,"['on trial', 'drink coffee', 'believe in god', '', 'say mass']",['baptise'],"Question: If there are people watching a priest, what is he doing?
Answer:
A: on trial
B: drink coffee
C: believe in god
D: 
E: say mass","If there are () watching a priest, what is he doing?",people,"['priest', 'doing']","In many cultures and religions, a priest holds a significant role in performing various religious rituals and ceremonies. Whether it is conducting prayers, leading worship services, or offering spiritual guidance, the priest plays a crucial role in the community's religious life. Through their actions and words, priests often serve as intermediaries between the divine and the people, helping individuals connect with their faith and beliefs. The duties of a priest are varied and encompass a wide range of responsibilities, all aimed at fostering a sense of spiritual well-being and community cohesion. By actively doing their duties with dedication and reverence, priests contribute to the spiritual growth and development of those they serve.",,False,preaching
11,6271,587bdd8fd449cc518452f6b8d52b16e1,What old models are likely to be made of wood?,wood,"['car', 'tree', 'hardware store', 'lumberyard', 'boat']",E,"A: car
B: tree
C: hardware store
D: lumberyard
E: boat",boat,"['car', '', 'hardware store', 'lumberyard', 'boat']",['tree'],"Question: What old models are likely to be made of wood?
Answer:
A: car
B: 
C: hardware store
D: lumberyard
E: boat",What old models are likely to be made of ()?,wood,"['old', 'made', 'wood']","The antique chest, with its intricate carvings and aged patina, stood proudly in the corner of the room. Crafted from rich mahogany wood, it was a testament to the skilled artisans who made it centuries ago. The old piece exuded a sense of history and elegance, its sturdy construction a stark contrast to the mass-produced furniture of today. Its weathered surface told stories of generations past, making it a cherished heirloom in the family for years to come.",,False,Plastic
12,4224,9a3a2184e24740ffb5067ac25ecd6963,"If an apple tree were in the North, where would it be?",apple tree,"['alaska', 'farm yard', 'park', 'flowers', 'new jersey']",E,"A: alaska
B: farm yard
C: park
D: flowers
E: new jersey",newjersey,"['alaska', '', 'park', 'flowers', 'new jersey']",['farm yard'],"Question: If an apple tree were in the North, where would it be?
Answer:
A: alaska
B: 
C: park
D: flowers
E: new jersey","If an apple () were in the North, where would it be?",tree,"['apple tree', 'where']","Apple trees are deciduous trees that belong to the Rosaceae family and are cultivated for their fruit, apples. These trees typically require a temperate climate to thrive and produce fruit. When considering where to plant an apple tree, it is essential to choose a location that receives ample sunlight, has well-drained soil, and is protected from strong winds. Proper placement and care are crucial for the successful growth and fruit production of apple trees.",,False,South
13,4332,3c67815352fec6a0fdf7656ccb5b5fd5,"The bald eagle has been a protected species, this is in part due to a dwindling what?",bald eagle,"['nest', 'everglades', 'high places', 'in washington', 'natural habitat']",E,"A: nest
B: everglades
C: high places
D: in washington
E: natural habitat",naturalhabitat,"['nest', 'everglades', 'high places', 'in washington', '']",['natural habitat'],"Question: The bald eagle has been a protected species, this is in part due to a dwindling what?
Answer:
A: nest
B: everglades
C: high places
D: in washington
E: ","The bald eagle has been a protected species, this is in () due to a dwindling what?",part,"['bald', 'eagle', 'species', 'part']","The bald eagle, a majestic bird of prey and the national symbol of the United States, is a species known for its striking white head and tail contrasting with a dark brown body. This iconic bird is found primarily in North America, where it inhabits various habitats near bodies of water. One distinctive part of the bald eagle is its sharp, hooked beak, which it uses to catch and tear apart its prey. Known for its keen eyesight and powerful talons, the bald eagle is a formidable hunter and a symbol of strength and freedom.",,False,population
14,172,e99da2b1d9ec4be89c2b42407aa5a15f,What could you add a line to?,line,"['bus stop', 'graph', 'post office', 'grass', 'play']",B,"A: bus stop
B: graph
C: post office
D: grass
E: play",graph,"['bus stop', 'graph', '', 'grass', 'play']",['post office'],"Question: What could you add a line to?
Answer:
A: bus stop
B: graph
C: 
D: grass
E: play",What could you add a () to?,line,"['add', 'line']","In mathematics, when you add numbers together, you are essentially combining them to find their sum. This operation is commonly represented by the ""+"" symbol. When working with geometric figures, a line is a straight path that extends infinitely in both directions. It has no thickness and is often represented by a straight line segment with two endpoints. Adding lines in geometry can involve concepts like parallel lines, perpendicular lines, and intersecting lines, which play crucial roles in various geometric theorems and constructions.",,False,Question
15,6039,557237ba0b61f9a69ec696bdbb00743d,Going in an air conditioned room to cool off is a good way to get what from hot weather?,cool off,"['rest', 'go swimming', 'relief', 'calm down', 'change']",C,"A: rest
B: go swimming
C: relief
D: calm down
E: change",relief,"['rest', 'go swimming', 'relief', 'calm down', '']",['change'],"Question: Going in an air conditioned room to cool off is a good way to get what from hot weather?
Answer:
A: rest
B: go swimming
C: relief
D: calm down
E: ",Going in an air conditioned room to cool off is a good () to get what from hot weather?,way,"['conditioned room', 'good way', 'air', 'conditioned', 'room', 'cool', 'way']","A conditioned room refers to a space where the temperature, humidity, and air quality are regulated to ensure comfort and optimal conditions for occupants. This is typically achieved through the use of air conditioning systems that cool or heat the air as needed. Ensuring a room is conditioned in a good way involves maintaining a comfortable temperature and air quality level, which can have a significant impact on the well-being and productivity of individuals in that space. By conditioning a room in a good way, occupants can enjoy a cool and refreshing environment that promotes relaxation and focus.",Relevent Info,True,strategy
16,7233,91ffbe8c9cbcaa04e4ed41ba2d8f998f,Where might a snake drop from?,snake,"['tree', 'pet shops', 'feild', 'tropical forest', 'cage']",A,"A: tree
B: pet shops
C: feild
D: tropical forest
E: cage",tree,"['tree', 'pet shops', 'feild', '', 'cage']",['tropical forest'],"Question: Where might a snake drop from?
Answer:
A: tree
B: pet shops
C: feild
D: 
E: cage",Where might a () drop from?,snake,"['Where', 'snake']","In many regions around the world, snakes can be found in a variety of habitats, from dense forests to arid deserts. Understanding where these reptiles are commonly located is crucial for both their conservation and for public safety. Knowing where snakes are likely to be found can help people take necessary precautions when venturing into these areas, reducing the risk of potentially dangerous encounters. By being aware of the habitats where snakes are prevalent, individuals can better appreciate and respect these fascinating creatures while also minimizing any potential conflicts that may arise.",,False,tree
17,5643,120a6af76efd75ec095c053287a6c937,"Sam treasured his freedom.  When he became a POW, he tried to escape from what?",freedom,"['communism', 'oppression', 'slavery', 'bad marriage', 'captivity']",E,"A: communism
B: oppression
C: slavery
D: bad marriage
E: captivity",captivity,"['communism', 'oppression', 'slavery', 'bad marriage', '']",['captivity'],"Question: Sam treasured his freedom.  When he became a POW, he tried to escape from what?
Answer:
A: communism
B: oppression
C: slavery
D: bad marriage
E: ","Sam treasured his freedom.  When he became a (), he tried to escape from what?",POW,"['freedom', 'When', 'became', 'tried']","When individuals fought for their freedom, they became empowered to challenge oppressive systems and strive for equality. Throughout history, there have been numerous instances where people tried to break free from the shackles of tyranny and discrimination. These pivotal moments marked significant shifts in societal norms and paved the way for a more just and inclusive world. Whether it was through peaceful protests, revolutions, or legal battles, the pursuit of freedom has been a driving force behind many transformative movements.",,False,Prisoner
18,236,c3b6280d05a9f9c5b031fcbeaa0ce695,"Though nearby, an apple from an apple tree where would be an imported product to the USA?",apple tree,"['ohio', 'washington state', 'alaska', 'canada', 'flowers']",D,"A: ohio
B: washington state
C: alaska
D: canada
E: flowers",canada,"['ohio', '', 'alaska', 'canada', 'flowers']",['washington state'],"Question: Though nearby, an apple from an apple tree where would be an imported product to the USA?
Answer:
A: ohio
B: 
C: alaska
D: canada
E: flowers","Though nearby, an () from an () tree where would be an imported product to the USA?",apple,,,Seen Q,True,apple
19,3350,daf313b39a95084a099ea8706f803061,"If a cottage is above the cloud line, where is it?",cottage,"['village', 'rural area', 'mountains', 'fairy story', 'valley']",C,"A: village
B: rural area
C: mountains
D: fairy story
E: valley",mountains,"['village', '', 'mountains', 'fairy story', 'valley']",['rural area'],"Question: If a cottage is above the cloud line, where is it?
Answer:
A: village
B: 
C: mountains
D: fairy story
E: valley","If a cottage is above the () line, where is it?",cloud,"['cottage', 'cloud']","Cottages nestled in picturesque landscapes often offer a serene escape from the hustle and bustle of city life. Imagine a quaint cottage perched on a hilltop, surrounded by lush greenery and rolling meadows. As you gaze out the window, you see fluffy white clouds drifting lazily across the azure sky, casting playful shadows on the countryside below. The tranquility of the cottage is enhanced by the soothing sight of the clouds, creating a peaceful and idyllic atmosphere for relaxation and contemplation. Whether you're seeking a cozy retreat or a romantic getaway, a cottage in the clouds promises a truly enchanting experience.",,False,Equator
20,5254,bfaff48744a77de1fd5e91f809d86656,What do most people hope to achieve when playing sports?,playing sports,"['an mbe', 'running', 'winning', 'have fun', 'cheat']",C,"A: an mbe
B: running
C: winning
D: have fun
E: cheat",winning,"['an mbe', '', 'winning', 'have fun', 'cheat']",['running'],"Question: What do most people hope to achieve when playing sports?
Answer:
A: an mbe
B: 
C: winning
D: have fun
E: cheat",What do most people hope to achieve when playing ()?,sports,"['most people', 'people', 'when', 'playing']","When playing games, most people enjoy the opportunity to socialize and have fun with others. People often find that playing games can be a great way to relax, unwind, and connect with friends and family. Whether it's a board game, video game, or outdoor activity, the act of playing can bring joy and entertainment to many individuals. Additionally, games can also help improve cognitive skills, promote teamwork, and foster healthy competition among people of all ages. Overall, playing games is a popular pastime that offers a wide range of benefits for individuals looking to have a good time and bond with others.",,False,fun
21,6087,3835b21ecc2c5c9317ea73aa57a5bc1c,When you haven't seen someone since they were young and years have passed what has happened to them?,young,"['senior', 'grow', 'mature', 'old', 'aged']",E,"A: senior
B: grow
C: mature
D: old
E: aged",aged,"['senior', 'grow', '', 'old', 'aged']",['mature'],"Question: When you haven't seen someone since they were young and years have passed what has happened to them?
Answer:
A: senior
B: grow
C: 
D: old
E: aged",When you haven't seen someone since they were young and () have passed what has happened to them?,years,,,Seen Q,True,years
