original_question,masked_question,nouns,noun_count
"A fluorescent molecule of 1,000 daltons injected into one cell is observed to enter an adjacent cell by passing through a",() fluorescent molecule () () daltons injected () () cell () observed () enter () () cell () passing () (),"['fluorescent', 'molecule', 'daltons', 'injected', 'cell', 'observed', 'enter', 'cell', 'passing']",9
Which of the following is not a true statement?,() () () following () () () true statement (),"['following', 'true', 'statement']",3
Surveys of older adults who are living together show that they tend to view cohabitation as,Surveys () older adults () () living () show () () tend () view cohabitation (),"['Surveys', 'older', 'adults', 'living', 'show', 'tend', 'view', 'cohabitation']",8
"Third-year student is studying contracts. He has learned that generally all contractual rights may be assigned, but there are some exceptions. Which of the following is not an exception?",Third () () student () studying contracts () () () learned () () () contractual rights () () assigned () () () are () exceptions () () () () following () () () exception (),"['Third', 'year', 'student', 'studying', 'contracts', 'contractual', 'rights', 'assigned', 'are', 'exceptions', 'following', 'exception']",12
The particular quality of the U.S. health care system is its:,() particular quality () () U.S. health care system () () (),"['particular', 'quality', 'U.S.', 'health', 'care', 'system']",6
"A 15-year-old male presents to the office with the complaint of painless swelling in the left testicle that has varied in size over the past several months. There is no history of trauma. The lesion transilluminates well, and no inguinal nodes are palpable. Findings from a testicular scan are normal. The most appropriate management includes",() () () year () old () presents () () office () () () () painless swelling () () left testicle () () varied () size () () past several months () () is () history () trauma () () lesion transilluminates () () () () inguinal nodes () palpable () Findings () () testicular scan () normal () () () appropriate management includes,"['year', 'old', 'male', 'presents', 'office', 'painless', 'swelling', 'left', 'testicle', 'varied', 'size', 'past', 'several', 'months', 'is', 'history', 'trauma', 'lesion', 'transilluminates', 'inguinal', 'nodes', 'palpable', 'Findings', 'scan', 'appropriate', 'management', 'includes']",27
"A sister and brother own a ranch as joint tenants. If the sister transfers her interest by quitclaim deed to her friend without the brother's knowledge, what interest, if any, does the friend have in the ranch?",() sister () () own () ranch () joint tenants () () () sister transfers () interest () quitclaim deed () () friend () () brother () knowledge () () interest () () () () () () friend have () () ranch (),"['sister', 'own', 'ranch', 'joint', 'tenants', 'sister', 'transfers', 'interest', 'quitclaim', 'deed', 'friend', 'brother', 'knowledge', 'interest', 'friend', 'have', 'ranch']",17
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I buy dog food to feed my neighbors dog. Scenario 2 | I ate the produce after paying.",() () () () () () () () () character () () uses () () () () () () do something () () wrong () according () ordinary moral standards () () US () () () () Scenario () () () buy dog food () feed () neighbors dog () Scenario () () () ate () produce () paying (),"['main', 'uses', 'do', 'something', 'wrong', 'according', 'ordinary', 'moral', 'standards', 'US', 'Scenario', 'buy', 'dog', 'food', 'feed', 'neighbors', 'dog', 'Scenario', 'ate', 'produce', 'paying']",21
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I spent my afternoon peeing in the pool. Scenario 2 | I briefly shouted to my friend in the public theater as the movie played.",() () () () () scenarios () () main character () () () () () () () () () do something () () () () according () ordinary moral standards () () US () () () () Scenario () () () spent () afternoon peeing () () pool () Scenario () () () () shouted () () friend () () public theater () () movie played (),"['scenarios', 'main', 'character', 'do', 'something', 'wrong', 'ordinary', 'moral', 'standards', 'US', 'Scenario', 'spent', 'afternoon', 'peeing', 'pool', 'Scenario', 'shouted', 'friend', 'public', 'theater', 'movie', 'played']",22
"A manager's competitor sent a defamatory letter to the manager accusing him of professional incompetence and calling him one of the worst businessmen in town. It was addressed to the manager. He read it, put it in a private drawer, and did not read it again. Later, he tried to sue the competitor for defamation as a result of the letter. Will the court likely grant the defendant's motion to dismiss, and on what grounds? Base your answer on the common law definition of defamation.",() manager () competitor sent () () letter () () manager accusing () () professional incompetence () () () () () () worst businessmen () town () () () addressed () () manager () () read () () put () () () private drawer () () () () read () () () () () () tried () sue () competitor () defamation () () result () () letter () () () court () grant () defendant () motion () dismiss () () () () grounds () Base () answer () () common law definition () defamation (),"['manager', 'competitor', 'sent', 'defamatory', 'letter', 'manager', 'accusing', 'professional', 'incompetence', 'worst', 'businessmen', 'town', 'addressed', 'manager', 'read', 'put', 'private', 'drawer', 'read', 'tried', 'sue', 'competitor', 'defamation', 'letter', 'court', 'grant', 'defendant', 'motion', 'dismiss', 'grounds', 'Base', 'answer', 'common', 'definition', 'defamation']",35
