original_question,masked_question,generated_question,matched,similarity_score
"Miranda wasn't sure about what she was doing, she just knew that she couldn't stop moving her smelly feet. This was a problem, because she was told to do what?",Miranda () () sure () () () () () () () () knew () () () () stop moving () smelly feet () () () () problem () () () () told () do () (),Miranda was not sure what she should do when she knew her son would not stop moving his smelly feet but she had no problem with what she was told to do for him.,False,72
"The police busted down his door, he realized only then he was just the pawn in his partner's grander what?",() police busted () () door () () realized () () () () () () pawn () () partner () grander () (),The police busted through the door when they realized that their suspect had pawn his stolen partner in grander criminal schemes.,False,63
What kind of wine list can I expect to see in Paris?,() kind () wine list () () expect () see () Paris (),What kind of wine list would you expect to see in Paris restaurants?,True,80
What performance is expected of a student in school sessions?,() performance () expected () () student () school sessions (),How is your performance and expected behavior during student after school sessions today?,False,68
"The man was crass and rude, all the what in the office filed a complaint together?",() man () crass () rude () () () () () () office filed () complaint () (),The angry man was crass and rude when the frustrated manager at the office filed a formal complaint against him.,False,70
If a human is sleepy what can they do to feel more alert?,() () human () sleepy () () () do () feel () alert (),Why do human beings feel sleepy at night but feel more alert during the day?,False,62
"When a person is convicted of committing murder, what happend to them?",() () person () convicted () committing murder () () happend () () (),Which specific person was convicted of committing murder that happened last year?,False,79
What is the hope of going fishing?,() () () hope () going fishing (),When do you hope you're going fishing tomorrow?,False,64
What does reading letters produce when one is unaware of a condition?,() () reading letters produce () () () unaware () () condition (),How does reading letters produce unique brain activity without conscious awareness of this condition today?,False,66
Everyone is ordinary but we are often told we are what?,Everyone () ordinary () () () () told () () () (),"Everyone deserves ordinary pleasures and happiness, being told they are truly special.",False,58
"If there are people watching a priest, what is he doing?",() () are people watching () priest () () () () doing (),How many are people watching the priest give his Sunday sermon today?,False,61
What old models are likely to be made of wood?,() old models () likely () () made () wood (),How old models were likely originally made from wood traditionally?,False,64
"If an apple tree were in the North, where would it be?",() () apple tree () () () North () () () () () (),How many apple trees can survive harsh North American winter conditions?,False,56
"The bald eagle has been a protected species, this is in part due to a dwindling what?",() bald eagle () () () protected species () () () () part () () () dwindling () (),Is the bald eagle now considered a protected species in North America due to its dwindling population numbers?,False,67
What could you add a line to?,() () () add () line () (),How do you add a new line in Python?,False,65
Going in an air conditioned room to cool off is a good way to get what from hot weather?,Going () () air conditioned room () cool () () () good way () () () () hot weather (),Going into an air conditioned room to cool down is a good way to escape the hot weather outside.,True,82
Where might a snake drop from?,() () () snake drop () (),How does a poisonous snake drop its venom?,False,50
"Sam treasured his freedom.  When he became a POW, he tried to escape from what?",Sam treasured () freedom () () () became () POW () () tried () escape () () (),Sam treasured his freedom until he became a POW and he tried to escape many times,True,82
"Though nearby, an apple from an apple tree where would be an imported product to the USA?",() () () () apple () () apple tree () () () () imported product () () USA (),How many fresh apples can one apple tree produce before the fruit becomes an imported product from the USA annually?,False,62
"If a cottage is above the cloud line, where is it?",() () cottage () () () cloud line () () () () (),Does your cozy cottage sit high above the cloud line on those misty mornings?,False,65
What do most people hope to achieve when playing sports?,() () most people hope () achieve () playing sports (),What do most people hope to achieve when playing sports competitively?,True,89
When you haven't seen someone since they were young and years have passed what has happened to them?,() () () () seen someone () () () young () years () passed () () happened () () (),Have you ever actually seen someone grow so young as years have passed like what happened to Benjamin Button?,False,67
"The man wanted a new ottoman, so where did he look?",() man wanted () new ottoman () () () () () look (),The old man wanted a new ottoman to make his living room look better,False,67
Where are there more telephone booths?,() are () more telephone booths (),Where are the old telephone booths today?,True,84
Where does a car belong?,() () () car belong (),Whose red sports car belongs here?,False,69
Where do most birds put eggs?,() () most birds put eggs (),Which season do most birds lay eggs in?,False,71
