original_question,masked_question,generated_question,matched,similarity_score
"Miranda wasn't sure about what she was doing, she just knew that she couldn't stop moving her smelly feet. This was a problem, because she was told to do what?",Miranda () () sure () () () () () () () () knew () () () () stop moving () smelly feet () () () () problem () () () () told () do () (),Miranda was not sure how to get her dog to stop moving its smelly feet around the room which was a problem until her friend told her what to do about it.,False,60
"The police busted down his door, he realized only then he was just the pawn in his partner's grander what?",() police busted () () door () () realized () () () () () () pawn () () partner () grander () (),"Here is the completed question with the masked words replaced:

The police busted down the front door when they realized the thief had stolen a valuable antique vase from the local pawn shop with his partner for a grander heist plan.",False,25
What kind of wine list can I expect to see in Paris?,() kind () wine list () () expect () see () Paris (),What kind of wine list can you expect to see in Paris restaurants?,True,86
What performance is expected of a student in school sessions?,() performance () expected () () student () school sessions (),"Here is the completed question with the masked sections replaced:

High academic performance is expected from every student during school sessions this year.",False,52
"The man was crass and rude, all the what in the office filed a complaint together?",() man () crass () rude () () () () () () office filed () complaint () (),The rude man's crass and rude behavior in the office filed a complaint against him.,False,75
If a human is sleepy what can they do to feel more alert?,() () human () sleepy () () () do () feel () alert (),How do humans feel when sleepy and what can they do to feel more alert?,True,81
"When a person is convicted of committing murder, what happend to them?",() () person () convicted () committing murder () () happend () () (),A guilty person was convicted for committing murder after what had happened in the courtroom trial?,False,71
What is the hope of going fishing?,() () () hope () going fishing (),What is your hope for going fishing this weekend?,False,72
What does reading letters produce when one is unaware of a condition?,() () reading letters produce () () () unaware () () condition (),"Here is the completed question with the masked words replaced:

Poor eyesight when reading letters produce blurred unfocused vision unaware of the condition myopia.",False,49
Everyone is ordinary but we are often told we are what?,Everyone () ordinary () () () () told () () () (),Everyone has an ordinary life when honestly expressed.,False,48
"If there are people watching a priest, what is he doing?",() () are people watching () priest () () () () doing (),"Here is the completed question with the masked words replaced:

Congregants in a church are people watching a priest celebrate a mass or service doing rituals.",False,45
What old models are likely to be made of wood?,() old models () likely () () made () wood (),How old models were likely to be made of wood?,True,89
"If an apple tree were in the North, where would it be?",() () apple tree () () () North () () () () () (),"Here is the completed question with the masked words replaced:

A tall apple tree grows in the sunny North garden near the old fence.",False,40
"The bald eagle has been a protected species, this is in part due to a dwindling what?",() bald eagle () () () protected species () () () () part () () () dwindling () (),"The bald eagle is a federally protected species in the United States. As part of conservation efforts to prevent its population from dwindling further, what measures have been taken?",False,55
What could you add a line to?,() () () add () line () (),"Here is the completed question with the masked words replaced:

How do you add a new line in a document?",False,38
