original_question,masked_question,generated_question,matched,similarity_score
Youngsville had a population of 684 people.  The town had a growth spurt and the population increased by 25% then they witnessed that 40% of the population moved away.  What is the current population?,Youngsville had () population () () people () () town had () growth spurt () () population increased () () % () () witnessed () () % () () population moved () () () () () current population (),"I'm sorry but I can't complete the question as it seems to be asking for a numerical value. If you could provide more context or clarify the question, I'd be happy to try and assist you further.",False,23
"Cilia wants to buy a multi-level dumbbell system.  The first pair of dumbbells are 3 lb weights, the second pair is 5 lb weights and the third is 8 lb pounds.  How much does the entire system weigh?",Cilia wants () () () multi-level dumbbell system () () first pair () dumbbells () () lb weights () () second pair () () lb weights () () third () () lb pounds () () much () () entire system weigh (),What is the total weight of the dumbbell set?  1.  2.  3.  4.  5.  6.  7.  8.  9.  10.  11.  12.  13.  14.  15.  16.  17.  18.  19.  20.  21.  22.,False,20
"Lydia is planning a road trip with her family and is trying to plan a route. She has 60 liters of fuel and she will use all of this during her trip. She isn't sure how much fuel she is going to use in the first third of the trip but she knows she will need a third of all of her fuel for the second third of the trip, and half this amount for the final third of the trip. How much fuel, in liters, can Lydia use in the first third of the trip?",Lydia () planning () () () () () family () () trying () plan () route () () has () liters () fuel () () () use () () () () () trip () () () () sure () much fuel () () going () use () () first third () () trip () () knows () () need () third () () () () fuel () () second third () () trip () () () () amount () () final third () () trip () () much fuel () () liters () () Lydia use () () first third () () trip (),"The completed question is:
Lydia is planning a family trip trying to plan a route that has a certain amount of liters of fuel to use for the trip. She is not sure how much fuel she will need for the first third of the trip, and she wants to know how much fuel she will use for the second and third parts of the trip. She knows that she will need less fuel for the first third of the trip than she will for the second and third parts of the trip.",False,19
"Jack is stranded on a desert island. He wants some salt to season his fish. He collects 2 liters of seawater in an old bucket. If the water is 20% salt, how many ml of salt will Jack get when all the water evaporates?",Jack () stranded () () () island () () wants () salt () season () () () () collects () liters () seawater () () old bucket () () () water () () % salt () () many ml () salt () Jack get () () () water evaporates (),"The question is: ""Jack stranded on a deserted island, where he wants to collect salt water to make a seasonable drink, but the bucket is very old and collects only 10 liters of seawater, which contains 2% salt, and Jack gets 5 liters of water evaporates, how many ml of salt does Jack get?""",False,21
Monroe has a collection of ants and a collection of spiders. He has 8 spiders and 12 ants. He is wondering what the number of legs of the entire collection is.,Monroe () () collection () ants () () collection () spiders () () has () spiders () () ants () () () wondering () () number () legs () () entire collection () (),"Monroe's () () collection () ants () () collection () spiders () () has () spiders () () ants () () () wondering () () number () legs () () entire collection () ()[/INST]
Monroe's () () collection () of () () is a () () of () () that is () () to be found () () in the () () of the () () and () () of the () []/INST]
Monroe's () () collection () of () () is a () () of ()",False,18
John attends a protest for 4 days.  He then attends a second protest for 25% longer than the first.  How many days did he spend protesting?,John attends () protest () () days () () () attends () second protest () () % longer () () first () () many days () () spend protesting (),"The best answer is: John attends a protest for 16 days, 40% longer than the first one, and spends more time protesting.",False,60
James buys 3 dirt bikes for $150 each and 4 off-road vehicles for $300 each.  It also cost him $25 to register each of these.  How much did he pay for everything?,James buys () dirt bikes () () () () () () () () road vehicles () () () () () () () cost () () () () register () () () () () much () () pay () everything (),"The completed question is:
James buys new dirt bikes for his children road vehicles for his business cost everything he can register and pay much more than he can afford to pay everything.",False,39
"Two runners are competing in a 10-mile race.  The first runs at an average pace of 8 minutes per mile, while the second runs at an average pace of 7 minutes per mile.  After 56 minutes, the second runner stops for a drink of water.  For how many minutes could the second runner remain stopped before the first runner catches up with him?",() runners () competing () () () () mile race () () first runs () () average pace () () minutes () mile () () () second runs () () average pace () () minutes () mile () () () minutes () () second runner stops () () drink () water () () () many minutes () () second runner remain stopped () () first runner catches () () () (),"What are the times of the first and second runners to complete the race in minutes per mile, and how many minutes does the first runner remain stopped after the second runner stops to drink water?",False,42
"Jason goes to the library 4 times more often than William goes. If William goes 2 times per week to the library, how many times does Jason go to the library in 4 weeks?",Jason goes () () library () times () () () William goes () () William () () times () week () () library () () many times () Jason go () () library () () weeks (),What is the frequency of visiting the library by Jason and William?,False,30
"When Matty was born, the cost of a ticket to Mars was $1,000,000. The cost is halved every 10 years. How much will a ticket cost when Matty is 30?",() () () born () () cost () () ticket () Mars () () () () () cost () halved () () years () () much () () ticket cost () Matty () () (),What is the average cost of a ticket to Mars?,False,38
