original_question,masked_question,generated_question,matched,similarity_score
Youngsville had a population of 684 people.  The town had a growth spurt and the population increased by 25% then they witnessed that 40% of the population moved away.  What is the current population?,Youngsville had () population () () people () () town had () growth spurt () () population increased () () % () () witnessed () () % () () population moved () () () () () current population (),"Question: Youngsville had a population of 5,000 people before the town had a growth spurt. During this time, the population increased by 20%, and it witnessed a further 10% increase as more people moved in. What is the current population now?",False,49
"Cilia wants to buy a multi-level dumbbell system.  The first pair of dumbbells are 3 lb weights, the second pair is 5 lb weights and the third is 8 lb pounds.  How much does the entire system weigh?",Cilia wants () () () multi-level dumbbell system () () first pair () dumbbells () () lb weights () () second pair () () lb weights () () third () () lb pounds () () much () () entire system weigh (),"Cilia wants to buy a multi-level dumbbell system with a first pair of dumbbells weighing 5 lb each, a second pair of 10 lb weights, and a third pair of 15 lb pounds. How much does the entire system weigh in total?",False,40
"Lydia is planning a road trip with her family and is trying to plan a route. She has 60 liters of fuel and she will use all of this during her trip. She isn't sure how much fuel she is going to use in the first third of the trip but she knows she will need a third of all of her fuel for the second third of the trip, and half this amount for the final third of the trip. How much fuel, in liters, can Lydia use in the first third of the trip?",Lydia () planning () () () () () family () () trying () plan () route () () has () liters () fuel () () () use () () () () () trip () () () () sure () much fuel () () going () use () () first third () () trip () () knows () () need () third () () () () fuel () () second third () () trip () () () () amount () () final third () () trip () () much fuel () () liters () () Lydia use () () first third () () trip (),Question: Lydia is planning a road trip with her family and is trying to plan the route. She has 60 liters of fuel to use for the entire trip and wants to make sure how much fuel she is going to use in the first third of the trip. She knows she will need one-third of the fuel for the second third of the trip and the same amount for the final third of the trip. How much fuel in liters will Lydia use in the first third of the trip?,False,36
"Jack is stranded on a desert island. He wants some salt to season his fish. He collects 2 liters of seawater in an old bucket. If the water is 20% salt, how many ml of salt will Jack get when all the water evaporates?",Jack () stranded () () () island () () wants () salt () season () () () () collects () liters () seawater () () old bucket () () () water () () % salt () () many ml () salt () Jack get () () () water evaporates (),"Question: Jack is stranded on a deserted island and he wants to collect salt to season his food. He collects 10 liters of seawater in an old bucket. If the water is 3.5% salt, how many ml of salt will Jack get after all the water evaporates?",False,68
Monroe has a collection of ants and a collection of spiders. He has 8 spiders and 12 ants. He is wondering what the number of legs of the entire collection is.,Monroe () () collection () ants () () collection () spiders () () has () spiders () () ants () () () wondering () () number () legs () () entire collection () (),Question: Monroe has a collection of ants and a collection of spiders. He has more spiders than ants and is wondering about the number of legs in the entire collection.,True,88
John attends a protest for 4 days.  He then attends a second protest for 25% longer than the first.  How many days did he spend protesting?,John attends () protest () () days () () () attends () second protest () () % longer () () first () () many days () () spend protesting (),Question: John attends a protest for a few days and then attends a second protest that is 50% longer than the first. How many days does he spend protesting in total?,True,84
James buys 3 dirt bikes for $150 each and 4 off-road vehicles for $300 each.  It also cost him $25 to register each of these.  How much did he pay for everything?,James buys () dirt bikes () () () () () () () () road vehicles () () () () () () () cost () () () () register () () () () () much () () pay () everything (),"Question: James buys two dirt bikes that are off-road vehicles. How much will it cost to register them, and how much will he pay for everything altogether?",False,68
"Two runners are competing in a 10-mile race.  The first runs at an average pace of 8 minutes per mile, while the second runs at an average pace of 7 minutes per mile.  After 56 minutes, the second runner stops for a drink of water.  For how many minutes could the second runner remain stopped before the first runner catches up with him?",() runners () competing () () () () mile race () () first runs () () average pace () () minutes () mile () () () second runs () () average pace () () minutes () mile () () () minutes () () second runner stops () () drink () water () () () many minutes () () second runner remain stopped () () first runner catches () () () (),"Question: Two runners are competing in a one mile race. The first runner runs at an average pace of 8 minutes per mile, while the second runs at an average pace of 7 minutes per mile. After 2 minutes, the second runner stops to drink some water. For how many minutes must the second runner remain stopped before the first runner catches up to him?",True,92
"Jason goes to the library 4 times more often than William goes. If William goes 2 times per week to the library, how many times does Jason go to the library in 4 weeks?",Jason goes () () library () times () () () William goes () () William () () times () week () () library () () many times () Jason go () () library () () weeks (),"Question: Jason goes to the library three times more than William goes. If William goes two times a week to the library, how many times does Jason go to the library in two weeks?",True,90
"When Matty was born, the cost of a ticket to Mars was $1,000,000. The cost is halved every 10 years. How much will a ticket cost when Matty is 30?",() () () born () () cost () () ticket () Mars () () () () () cost () halved () () years () () much () () ticket cost () Matty () () (),What will the cost of a ticket to Mars be if the cost is halved in ten years? How much will a ticket cost for Matty then?,False,75
"In the first team, Beth scored 12 while Jan scored 10. In the second team, Judy scored 8 while Angel scored 11. How many more points did the first team get than the second team?",() () first team () Beth scored () () Jan () () () () () second team () Judy scored () () Angel scored () () () many more points () () first team get () () second team (),"Who was on the first team where Beth scored, and how many points did Jan score? On the second team, how many points did Judy score, and how many did Angel score? Overall, how many more points did the first team get compared to the second team?",False,33
