original_question,masked_question,generated_question,matched,similarity_score
Youngsville had a population of 684 people.  The town had a growth spurt and the population increased by 25% then they witnessed that 40% of the population moved away.  What is the current population?,Youngsville had () population () () people () () town had () growth spurt () () population increased () () % () () witnessed () () % () () population moved () () () () () current population (),"Question: Youngsville had a population of 10,000 people. The town had a growth spurt, and the population increased by 25%. It witnessed a further 10% as the population moved to 12,500. What is the current population?",True,83
"Cilia wants to buy a multi-level dumbbell system.  The first pair of dumbbells are 3 lb weights, the second pair is 5 lb weights and the third is 8 lb pounds.  How much does the entire system weigh?",Cilia wants () () () multi-level dumbbell system () () first pair () dumbbells () () lb weights () () second pair () () lb weights () () third () () lb pounds () () much () () entire system weigh (),"Question: Cilia wants a new multi-level dumbbell system. How much do the first pair of dumbbells with lb weights, the second pair with lb weights, and the third pair with lb pounds weigh altogether?",False,74
"Lydia is planning a road trip with her family and is trying to plan a route. She has 60 liters of fuel and she will use all of this during her trip. She isn't sure how much fuel she is going to use in the first third of the trip but she knows she will need a third of all of her fuel for the second third of the trip, and half this amount for the final third of the trip. How much fuel, in liters, can Lydia use in the first third of the trip?",Lydia () planning () () () () () family () () trying () plan () route () () has () liters () fuel () () () use () () () () () trip () () () () sure () much fuel () () going () use () () first third () () trip () () knows () () need () third () () () () fuel () () second third () () trip () () () () amount () () final third () () trip () () much fuel () () liters () () Lydia use () () first third () () trip (),"Question: Lydia is planning a road trip with her family and trying to plan the route. She has 20 liters of fuel and needs to use it efficiently for the trip. How much fuel is she going to use in the first third of the trip, knowing she will need one-third of the total fuel in the second third of the trip, and the remaining fuel in the final third of the trip? How much fuel will Lydia use in the first third of the trip?",False,51
"Jack is stranded on a desert island. He wants some salt to season his fish. He collects 2 liters of seawater in an old bucket. If the water is 20% salt, how many ml of salt will Jack get when all the water evaporates?",Jack () stranded () () () island () () wants () salt () season () () () () collects () liters () seawater () () old bucket () () () water () () % salt () () many ml () salt () Jack get () () () water evaporates (),Question: Jack is stranded on an island and wants to salt season his food. He collects 5 liters of seawater in an old bucket. The water has 3% salt. How many ml of salt will Jack get after the water evaporates?,False,59
Monroe has a collection of ants and a collection of spiders. He has 8 spiders and 12 ants. He is wondering what the number of legs of the entire collection is.,Monroe () () collection () ants () () collection () spiders () () has () spiders () () ants () () () wondering () () number () legs () () entire collection () (),"Question: Monroe has a collection of ants and a collection of spiders. He has 15 spiders and 20 ants. If you're wondering about the number of legs in the entire collection, how many legs are there?",True,83
John attends a protest for 4 days.  He then attends a second protest for 25% longer than the first.  How many days did he spend protesting?,John attends () protest () () days () () () attends () second protest () () % longer () () first () () many days () () spend protesting (),Question: John attends every protest for three days. He then attends a second protest that is 50% longer than the first. How many days does he spend protesting in total?,True,84
James buys 3 dirt bikes for $150 each and 4 off-road vehicles for $300 each.  It also cost him $25 to register each of these.  How much did he pay for everything?,James buys () dirt bikes () () () () () () () () road vehicles () () () () () () () cost () () () () register () () () () () much () () pay () everything (),"Question: James buys how many dirt bikes and how many road vehicles in total, and how much does it cost to register everything?",False,55
"Two runners are competing in a 10-mile race.  The first runs at an average pace of 8 minutes per mile, while the second runs at an average pace of 7 minutes per mile.  After 56 minutes, the second runner stops for a drink of water.  For how many minutes could the second runner remain stopped before the first runner catches up with him?",() runners () competing () () () () mile race () () first runs () () average pace () () minutes () mile () () () second runs () () average pace () () minutes () mile () () () minutes () () second runner stops () () drink () water () () () many minutes () () second runner remain stopped () () first runner catches () () () (),"Question: How many runners are competing in a 10-mile race if the first runs at an average pace of 8 minutes per mile, and the second runs at an average pace of 9 minutes per mile, with the second runner stopping to drink water? How many minutes does the second runner remain stopped before the first runner catches up?",False,60
"Jason goes to the library 4 times more often than William goes. If William goes 2 times per week to the library, how many times does Jason go to the library in 4 weeks?",Jason goes () () library () times () () () William goes () () William () () times () week () () library () () many times () Jason go () () library () () weeks (),Question: Jason goes to the library three times a week. William goes to the library five times. How many times does Jason go to the library in two weeks?,False,73
"When Matty was born, the cost of a ticket to Mars was $1,000,000. The cost is halved every 10 years. How much will a ticket cost when Matty is 30?",() () () born () () cost () () ticket () Mars () () () () () cost () halved () () years () () much () () ticket cost () Matty () () (),Question: How much does it cost for a ticket to Mars if the price is halved every two years and Matty was born 24 years ago?,False,53
"In the first team, Beth scored 12 while Jan scored 10. In the second team, Judy scored 8 while Angel scored 11. How many more points did the first team get than the second team?",() () first team () Beth scored () () Jan () () () () () second team () Judy scored () () Angel scored () () () many more points () () first team get () () second team (),"Question: In the first team match, Beth scored how many points, compared to Jan? How many points did Judy score in the second team, and how many points did Angel score? Who scored many more points, the first team or the second team?",False,40
Jackson’s mom packs him a peanut butter and jelly sandwich for his school lunch on Wednesdays and Fridays. There are 36 weeks of school and Jackson has only missed 1 Wednesday and 2 Fridays. How many peanut butter and jelly sandwiches did he eat for lunch this school year?,Jackson () () packs () () peanut butter () jelly () () () school lunch () Wednesdays () Fridays () () are () weeks () school () Jackson () () missed () Wednesday () () Fridays () () many peanut butter () jelly sandwiches () () eat () lunch () school year (),"Question: Jackson consistently packs peanut butter and jelly for school lunch on Wednesdays and Fridays. How many weeks of school has Jackson not missed a Wednesday or Friday, and how many peanut butter and jelly sandwiches does he eat for lunch throughout the school year?",False,22
"Chastity bought 4 lollipops which cost $1.50 each, and she also bought 2 packs of gummies which cost $2 each. If she has $15, how much was she left with after spending on the candies?",Chastity bought () lollipops () cost () () () () () () () bought () packs () gummies () cost () () () () () () has () () () () much () () left () () spending () () candies (),Question: Chastity bought (10) lollipops (that) cost (her) (a) (total) (of) (5) (dollars) (each) bought (3) packs (of) gummies (that) cost (her) (2) (dollars) (per) (pack). She has (so) (far) (eaten) (up) much (of) (her) (stash) left (after) spending (the) (rest) (of) candies.,False,22
"The local school is holding a big fair to raise money for 5 classes that want to go on a trip. 150 people came to the party and paid a total of $368 for entrance tickets. There was a raffle which brought in $343. The sale of cakes and drinks brought $279. At the end of the fair, the principal of the school shared the money raised between the 5 classes. How much money did each class receive?",() () () () holding () big fair () () money () () classes () want () go () () trip () () people came () () party () paid () total () () () () entrance tickets () () was () raffle () brought () () () () () sale () cakes () drinks brought () () () () () end () () fair () () principal () () school shared () money raised () () () classes () () much money () () class receive (),"Question: Who was holding a big fair to raise money for classes, and how much money did each class receive?",False,38
Tom decides to renovate a house.  There are 3 bedrooms and each bedroom takes 4 hours to renovate.  The kitchen takes 50% longer than each bedroom.  The living room took twice as much time as everything else combined.  How long did everything take?,Tom decides () renovate () house () () are () bedrooms () () bedroom takes () hours () renovate () () kitchen takes () % () () () bedroom () () living room took () () much time () everything () combined () () () () everything take (),"Question: Tom decides to renovate his house. How many bedrooms does he have, and how many hours does it take to renovate each bedroom? Additionally, what percentage of time does it take to renovate the kitchen compared to renovating a bedroom? Lastly, how much time did it take to renovate the living room, and how much time does everything combined take?",False,34
"Sandro has six times as many daughters as sons. If he currently has three sons, how many children does he have?",Sandro has () () () many daughters () sons () () () () has () sons () () many children () () have (),Question: Sandro has how many daughters and how many sons? His daughters have how many sons? How many children does he have in total?,False,65
"Jennifer is building tanks to hold her goldfish. She built 3 tanks that will hold 15 fish each, heated, and filled them. She plans to build the rest of the tanks equipped with heaters, and they will hold 10 fish each. If she needs to build enough tanks to house a total of 75 fish, how many more will she need to build?",Jennifer () building tanks () hold () goldfish () () built () tanks () () hold () () () () heated () () filled () () () plans () build () rest () () tanks equipped () heaters () () () () hold () fish () () () () needs () build enough tanks () house () total () () fish () () many more () () need () build (),Question: Jennifer is building tanks to hold her goldfish. She has built tanks to hold a specific number of goldfish. She heated and filled the tanks according to her plans to build the rest of the tanks equipped with heaters. How many fish does she need to build enough tanks to house a total of her goldfish and how many more tanks does she need to build?,False,45
"September's temperature fluctuated severely in 1 week.  They started off with 40 degrees on Sunday then hit 50 on Monday, 65 on Tuesday, 36 on Wednesday, 82 on Thursday, 72 on Friday and ended the week at 26 on Saturday.  What was the average temperature for that week?",September () () fluctuated () () () week () () started () () () degrees () Sunday () hit () () Monday () () () Tuesday () () () Wednesday () () () Thursday () () () Friday () ended () week () () () Saturday () () () () average temperature () () week (),Question: September (weather) (conditions) fluctuated (wildly) (throughout) week (as) (it) started (at) (20) degrees (on) Sunday (and) hit (a) (high) Monday (of) (30) (degrees) Tuesday (reaching) (a) (low) Wednesday (of) (15) (degrees) Thursday (before) (rising) (again) Friday (ended) week (with) (a) (cool) Saturday (and) (an) average temperature (for) week (of) (25) degrees.,False,9
Stella and Twinkle are filling up a truck with a capacity of 6000 stone blocks at the rate of 250 blocks per hour per person. They work for four hours and are then joined by 6 other people who also work at the same rate. How many hours did filling the truck take?,Stella () Twinkle () filling () () () () () capacity () () stone blocks () () rate () () blocks () hour () person () () work () () hours () () () joined () () other people () () work () () same rate () () many hours () filling () truck take (),"Question: Stella and Twinkle are filling a capacity with stone blocks at a rate of blocks per hour. If one person can work for hours, how many hours will it take for Stella, Twinkle, and two other people to work at the same rate to fill a truck?",False,42
"Marla has to spend 20 minutes driving one way to her son's school, then 70 minutes attending parent-teacher night, then the same amount of time driving home. How many minutes does Marla spend on this errand in total?",Marla has () spend () minutes driving () way () () () () school () () () () attending parent () teacher night () () () same amount () time driving () () () many minutes () Marla spend () () errand () total (),"Question: Marla has to spend how many minutes driving one way to her school before attending parent-teacher night? Additionally, will she spend the same amount of time driving back home?",False,67
"Jed collects stamp cards. Every week, he gets 6 cards. But every two weeks, he gives 2 cards to his friends. If Jed started with 20 cards, after how many weeks will he have a total of 40 cards?",Jed collects () cards () () week () () gets () cards () () () () weeks () () gives () cards () () friends () () Jed started () () cards () () () many weeks () () have () total () () cards (),Question: Jed collects how many cards each week and how many cards does he get in total after collecting cards for many weeks if he gives some cards to his friends?,False,46
"Tim buys 3 loaves of bread.  Each loaf of bread has 20 slices.  He pays for the 3 loaves of bread with 2 $20 bills.  He gets $16 change.  How much does each slice cost, in cents?",Tim buys () loaves () bread () () loaf () bread has () slices () () pays () () () loaves () bread () () () () bills () () gets () () change () () much () () slice cost () () cents (),Question: Tim buys (some) loaves (of) bread. (Each) loaf (of) bread has (eight) slices. (He) pays (for) (three) loaves (of) bread (with) (five) bills. (He) gets (some) change. (How) much (does) (each) slice cost (if) (one) slice costs (twenty) cents?,False,35
John buys a heating pad for $30.  He uses it 3 times a week for 2 weeks.  How much does he spend on each use?,John buys () heating pad () () () () () uses () () times () week () () weeks () () much () () spend () () use (),Question: John buys a heating pad that he uses several times a week. How many weeks does he use it and how much does he spend on its use?,False,70
