original_question,masked_question,generated_question,matched,similarity_score
"A fluorescent molecule of 1,000 daltons injected into one cell is observed to enter an adjacent cell by passing through a",() fluorescent molecule () () daltons injected () () cell () observed () enter () () cell () passing () (),How is a fluorescent molecule of 500 daltons injected into a living cell and observed to enter the target cell by passing through membrane?,True,81
Which of the following is not a true statement?,() () () following () () () true statement (),Which of the following is a true statement?,True,96
Surveys of older adults who are living together show that they tend to view cohabitation as,Surveys () older adults () () living () show () () tend () view cohabitation (),Surveys of older adults who are living alone show that they tend to view cohabitation negatively,True,90
"Third-year student is studying contracts. He has learned that generally all contractual rights may be assigned, but there are some exceptions. Which of the following is not an exception?",Third () () student () studying contracts () () () learned () () () contractual rights () () assigned () () () are () exceptions () () () () following () () () exception (),Third year law student John studying contracts in law school learned that contractual rights and obligations can be assigned to other parties but there are some exceptions and the following is an exception to:,False,34
The particular quality of the U.S. health care system is its:,() particular quality () () U.S. health care system () () (),What particular quality makes the U.S. health care system more expensive and less efficient?,False,72
"A 15-year-old male presents to the office with the complaint of painless swelling in the left testicle that has varied in size over the past several months. There is no history of trauma. The lesion transilluminates well, and no inguinal nodes are palpable. Findings from a testicular scan are normal. The most appropriate management includes",() () () year () old () presents () () office () () () () painless swelling () () left testicle () () varied () size () () past several months () () is () history () trauma () () lesion transilluminates () () () () inguinal nodes () palpable () Findings () () testicular scan () normal () () () appropriate management includes,A 35 year old male presents to the office with a gradually enlarging painless swelling of the left testicle that has varied in size over the past several months. There is no history of trauma and the lesion transilluminates but no enlarged inguinal nodes are palpable. Findings on testicular scan are normal. The most appropriate management includes,False,49
"A sister and brother own a ranch as joint tenants. If the sister transfers her interest by quitclaim deed to her friend without the brother's knowledge, what interest, if any, does the friend have in the ranch?",() sister () () own () ranch () joint tenants () () () sister transfers () interest () quitclaim deed () () friend () () brother () knowledge () () interest () () () () () () friend have () () ranch (),Does sister Mary who owns a ranch as joint tenants with her sister transfers her interest by quitclaim deed to her friend while her brother has knowledge that the interest was previously transferred to the friend have title to the ranch now?,False,53
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I buy dog food to feed my neighbors dog. Scenario 2 | I ate the produce after paying.",() () () () () () () () () character () () uses () () () () () () do something () () wrong () according () ordinary moral standards () () US () () () () Scenario () () () buy dog food () feed () neighbors dog () Scenario () () () ate () produce () paying (),What role does the main character's moral compass use to guide their actions when they do something ethically wrong or questionable according to ordinary moral standards in the US television series Breaking Bad? Scenario 1: Would you buy dog food to feed your neighbor's dog? Scenario 2: Have you ate any produce without paying today?,False,19
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I spent my afternoon peeing in the pool. Scenario 2 | I briefly shouted to my friend in the public theater as the movie played.",() () () () () scenarios () () main character () () () () () () () () () do something () () () () according () ordinary moral standards () () US () () () () Scenario () () () spent () afternoon peeing () () pool () Scenario () () () () shouted () () friend () () public theater () () movie played (),In which of these two scenarios would the main character be considered more likely to do something considered wrong according to ordinary moral standards by US society today: Scenario A where Tom spent an afternoon peeing in the pool or Scenario B where Sarah shouted at her friend in a public theater as the movie played on?,False,45
"A manager's competitor sent a defamatory letter to the manager accusing him of professional incompetence and calling him one of the worst businessmen in town. It was addressed to the manager. He read it, put it in a private drawer, and did not read it again. Later, he tried to sue the competitor for defamation as a result of the letter. Will the court likely grant the defendant's motion to dismiss, and on what grounds? Base your answer on the common law definition of defamation.",() manager () competitor sent () () letter () () manager accusing () () professional incompetence () () () () () () worst businessmen () town () () () addressed () () manager () () read () () put () () () private drawer () () () () read () () () () () () tried () sue () competitor () defamation () () result () () letter () () () court () grant () defendant () motion () dismiss () () () () grounds () Base () answer () () common law definition () defamation (),The manager's competitor sent an angry letter to the manager accusing him of professional incompetence and calling him one of the worst businessmen in town. The letter was addressed to the manager who never read it but put it in his private drawer where no one else read it. When the manager tried to sue the competitor for defamation as a result of the letter but the court did grant the defendant's motion to dismiss the case on the grounds. Base your answer on the common law definition of defamation.,False,31
