,id,question,question_concept,choices,answerKey
8773,37eb54ff6dcbbdb70d12b7e5a1dab9e3,"Miranda wasn't sure about what she was doing, she just knew that she couldn't stop moving her smelly feet. This was a problem, because she was told to do what?",feet,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['shoes', 'stay still', 'hands', 'walk', 'stink'], dtype=object)}",B
6125,5abe81200fb6d4d0ff7f1d9862116292,"The police busted down his door, he realized only then he was just the pawn in his partner's grander what?",pawn,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['scheme', 'chess game', 'chess set', 'business idea',
       'playing chess'], dtype=object)}",A
8387,391027d47b89cc2fd2017a865f99ccec,What kind of wine list can I expect to see in Paris?,wine list,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['restaurant', 'french', 'boston', 'canadian', 'resturant'],
      dtype=object)}",B
7151,246fa25105a6893de75b0016a830a183,What performance is expected of a student in school sessions?,student,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['michigan', 'pass course', 'better grade', 'ask questions',
       'study history'], dtype=object)}",B
9605,720f00ce6f63996210e40d6ed37a1653,"The man was crass and rude, all the what in the office filed a complaint together?",man,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['lady', 'wifes husband', 'women', 'her', 'female person'],
      dtype=object)}",C
324,2712fa7029d5a0d3325792eb0ab4bda1,If a human is sleepy what can they do to feel more alert?,human,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['dream dreams', 'think critically', 'cross road', 'drink coffee',
       'drive a car'], dtype=object)}",D
7205,b6a2c0d1f8e0d032f65580d1a0960078,"When a person is convicted of committing murder, what happend to them?",committing murder,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['go to jail', 'imprisonment', 'sadness', 'prosecution',
       'incarceration'], dtype=object)}",E
5142,47f102575469628bf3ab688dfaf3938a,What is the hope of going fishing?,fishing,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['getting food', 'wet clothes', 'getting drunk', 'catching fish',
       'wetness'], dtype=object)}",D
6009,3498dae098e748ef3c2c3894896d16ac,What does reading letters produce when one is unaware of a condition?,reading letter,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['laughter', 'strain', 'realization', 'enlightenment', 'happiness'],
      dtype=object)}",C
1887,b9c088cfe0e2c07886896d922ce7c698,Everyone is ordinary but we are often told we are what?,ordinary,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['unbelievable', 'strange', 'special', 'ugly', 'exceptional'],
      dtype=object)}",C
1507,98f35feb6c39efba204fa9d9d1a73dc3,"If there are people watching a priest, what is he doing?",priest,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['on trial', 'drink coffee', 'believe in god', 'baptise',
       'say mass'], dtype=object)}",E
6271,587bdd8fd449cc518452f6b8d52b16e1,What old models are likely to be made of wood?,wood,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['car', 'tree', 'hardware store', 'lumberyard', 'boat'],
      dtype=object)}",E
4224,9a3a2184e24740ffb5067ac25ecd6963,"If an apple tree were in the North, where would it be?",apple tree,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['alaska', 'farm yard', 'park', 'flowers', 'new jersey'],
      dtype=object)}",E
