,Unnamed: 0,id,question,question_concept,choices,answerKey,answer_options_formatted,answer,choices_copy,masked_options,question_answer,masked_question,masked_word_answer
0,8773,37eb54ff6dcbbdb70d12b7e5a1dab9e3,"Miranda wasn't sure about what she was doing, she just knew that she couldn't stop moving her smelly feet. This was a problem, because she was told to do what?",feet,"['shoes', 'stay still', 'hands', 'walk', 'stink']",B,"A: shoes
B: stay still
C: hands
D: walk
E: stink",staystill,"['shoes', 'stay still', '', 'walk', 'stink']",['hands'],"Question: Miranda wasn't sure about what she was doing, she just knew that she couldn't stop moving her smelly feet. This was a problem, because she was told to do what?
Answer:
A: shoes
B: stay still
C: 
D: walk
E: stink","Miranda wasn't sure about what she was doing, she just knew that she couldn't stop moving her smelly feet. This was a (), because she was told to do what?",problem
1,6125,5abe81200fb6d4d0ff7f1d9862116292,"The police busted down his door, he realized only then he was just the pawn in his partner's grander what?",pawn,"['scheme', 'chess game', 'chess set', 'business idea', 'playing chess']",A,"A: scheme
B: chess game
C: chess set
D: business idea
E: playing chess",scheme,"['scheme', 'chess game', 'chess set', 'business idea', '']",['playing chess'],"Question: The police busted down his door, he realized only then he was just the pawn in his partner's grander what?
Answer:
A: scheme
B: chess game
C: chess set
D: business idea
E: ","The police busted down his (), he realized only then he was just the pawn in his partner's grander what?",door
2,8387,391027d47b89cc2fd2017a865f99ccec,What kind of wine list can I expect to see in Paris?,wine list,"['restaurant', 'french', 'boston', 'canadian', 'resturant']",B,"A: restaurant
B: french
C: boston
D: canadian
E: resturant",french,"['restaurant', 'french', 'boston', 'canadian', '']",['resturant'],"Question: What kind of wine list can I expect to see in Paris?
Answer:
A: restaurant
B: french
C: boston
D: canadian
E: ",What () of wine list can I expect to see in Paris?,kind
3,7151,246fa25105a6893de75b0016a830a183,What performance is expected of a student in school sessions?,student,"['michigan', 'pass course', 'better grade', 'ask questions', 'study history']",B,"A: michigan
B: pass course
C: better grade
D: ask questions
E: study history",passcourse,"['michigan', 'pass course', 'better grade', 'ask questions', '']",['study history'],"Question: What performance is expected of a student in school sessions?
Answer:
A: michigan
B: pass course
C: better grade
D: ask questions
E: ",What () is expected of a student in school sessions?,performance
4,9605,720f00ce6f63996210e40d6ed37a1653,"The man was crass and rude, all the what in the office filed a complaint together?",man,"['lady', 'wifes husband', 'women', 'her', 'female person']",C,"A: lady
B: wifes husband
C: women
D: her
E: female person",women,"['lady', 'wifes husband', 'women', 'her', '']",['female person'],"Question: The man was crass and rude, all the what in the office filed a complaint together?
Answer:
A: lady
B: wifes husband
C: women
D: her
E: ","The () was crass and rude, all the what in the office filed a complaint together?",man
5,324,2712fa7029d5a0d3325792eb0ab4bda1,If a human is sleepy what can they do to feel more alert?,human,"['dream dreams', 'think critically', 'cross road', 'drink coffee', 'drive a car']",D,"A: dream dreams
B: think critically
C: cross road
D: drink coffee
E: drive a car",drinkcoffee,"['dream dreams', '', 'cross road', 'drink coffee', 'drive a car']",['think critically'],"Question: If a human is sleepy what can they do to feel more alert?
Answer:
A: dream dreams
B: 
C: cross road
D: drink coffee
E: drive a car",If a human is sleepy what can they do to feel more ()?,alert
6,7205,b6a2c0d1f8e0d032f65580d1a0960078,"When a person is convicted of committing murder, what happend to them?",committing murder,"['go to jail', 'imprisonment', 'sadness', 'prosecution', 'incarceration']",E,"A: go to jail
B: imprisonment
C: sadness
D: prosecution
E: incarceration",incarceration,"['go to jail', 'imprisonment', 'sadness', '', 'incarceration']",['prosecution'],"Question: When a person is convicted of committing murder, what happend to them?
Answer:
A: go to jail
B: imprisonment
C: sadness
D: 
E: incarceration","When a () is convicted of committing murder, what happend to them?",person
7,5142,47f102575469628bf3ab688dfaf3938a,What is the hope of going fishing?,fishing,"['getting food', 'wet clothes', 'getting drunk', 'catching fish', 'wetness']",D,"A: getting food
B: wet clothes
C: getting drunk
D: catching fish
E: wetness",catchingfish,"['', 'wet clothes', 'getting drunk', 'catching fish', 'wetness']",['getting food'],"Question: What is the hope of going fishing?
Answer:
A: 
B: wet clothes
C: getting drunk
D: catching fish
E: wetness",What is the hope of going ()?,fishing
8,6009,3498dae098e748ef3c2c3894896d16ac,What does reading letters produce when one is unaware of a condition?,reading letter,"['laughter', 'strain', 'realization', 'enlightenment', 'happiness']",C,"A: laughter
B: strain
C: realization
D: enlightenment
E: happiness",realization,"['laughter', '', 'realization', 'enlightenment', 'happiness']",['strain'],"Question: What does reading letters produce when one is unaware of a condition?
Answer:
A: laughter
B: 
C: realization
D: enlightenment
E: happiness",What does reading letters produce when one is unaware of a ()?,condition
9,1887,b9c088cfe0e2c07886896d922ce7c698,Everyone is ordinary but we are often told we are what?,ordinary,"['unbelievable', 'strange', 'special', 'ugly', 'exceptional']",C,"A: unbelievable
B: strange
C: special
D: ugly
E: exceptional",special,"['unbelievable', '', 'special', 'ugly', 'exceptional']",['strange'],"Question: Everyone is ordinary but we are often told we are what?
Answer:
A: unbelievable
B: 
C: special
D: ugly
E: exceptional",Everyone is () but we are often told we are what?,ordinary
10,1507,98f35feb6c39efba204fa9d9d1a73dc3,"If there are people watching a priest, what is he doing?",priest,"['on trial', 'drink coffee', 'believe in god', 'baptise', 'say mass']",E,"A: on trial
B: drink coffee
C: believe in god
D: baptise
E: say mass",saymass,"['on trial', 'drink coffee', 'believe in god', '', 'say mass']",['baptise'],"Question: If there are people watching a priest, what is he doing?
Answer:
A: on trial
B: drink coffee
C: believe in god
D: 
E: say mass","If there are () watching a priest, what is he doing?",people
11,6271,587bdd8fd449cc518452f6b8d52b16e1,What old models are likely to be made of wood?,wood,"['car', 'tree', 'hardware store', 'lumberyard', 'boat']",E,"A: car
B: tree
C: hardware store
D: lumberyard
E: boat",boat,"['car', '', 'hardware store', 'lumberyard', 'boat']",['tree'],"Question: What old models are likely to be made of wood?
Answer:
A: car
B: 
C: hardware store
D: lumberyard
E: boat",What old models are likely to be made of ()?,wood
12,4224,9a3a2184e24740ffb5067ac25ecd6963,"If an apple tree were in the North, where would it be?",apple tree,"['alaska', 'farm yard', 'park', 'flowers', 'new jersey']",E,"A: alaska
B: farm yard
C: park
D: flowers
E: new jersey",newjersey,"['alaska', '', 'park', 'flowers', 'new jersey']",['farm yard'],"Question: If an apple tree were in the North, where would it be?
Answer:
A: alaska
B: 
C: park
D: flowers
E: new jersey","If an apple () were in the North, where would it be?",tree
13,4332,3c67815352fec6a0fdf7656ccb5b5fd5,"The bald eagle has been a protected species, this is in part due to a dwindling what?",bald eagle,"['nest', 'everglades', 'high places', 'in washington', 'natural habitat']",E,"A: nest
B: everglades
C: high places
D: in washington
E: natural habitat",naturalhabitat,"['nest', 'everglades', 'high places', 'in washington', '']",['natural habitat'],"Question: The bald eagle has been a protected species, this is in part due to a dwindling what?
Answer:
A: nest
B: everglades
C: high places
D: in washington
E: ","The bald eagle has been a protected species, this is in () due to a dwindling what?",part
14,172,e99da2b1d9ec4be89c2b42407aa5a15f,What could you add a line to?,line,"['bus stop', 'graph', 'post office', 'grass', 'play']",B,"A: bus stop
B: graph
C: post office
D: grass
E: play",graph,"['bus stop', 'graph', '', 'grass', 'play']",['post office'],"Question: What could you add a line to?
Answer:
A: bus stop
B: graph
C: 
D: grass
E: play",What could you add a () to?,line
15,6039,557237ba0b61f9a69ec696bdbb00743d,Going in an air conditioned room to cool off is a good way to get what from hot weather?,cool off,"['rest', 'go swimming', 'relief', 'calm down', 'change']",C,"A: rest
B: go swimming
C: relief
D: calm down
E: change",relief,"['rest', 'go swimming', 'relief', 'calm down', '']",['change'],"Question: Going in an air conditioned room to cool off is a good way to get what from hot weather?
Answer:
A: rest
B: go swimming
C: relief
D: calm down
E: ",Going in an air conditioned room to cool off is a good () to get what from hot weather?,way
16,7233,91ffbe8c9cbcaa04e4ed41ba2d8f998f,Where might a snake drop from?,snake,"['tree', 'pet shops', 'feild', 'tropical forest', 'cage']",A,"A: tree
B: pet shops
C: feild
D: tropical forest
E: cage",tree,"['tree', 'pet shops', 'feild', '', 'cage']",['tropical forest'],"Question: Where might a snake drop from?
Answer:
A: tree
B: pet shops
C: feild
D: 
E: cage",Where might a () drop from?,snake
17,5643,120a6af76efd75ec095c053287a6c937,"Sam treasured his freedom.  When he became a POW, he tried to escape from what?",freedom,"['communism', 'oppression', 'slavery', 'bad marriage', 'captivity']",E,"A: communism
B: oppression
C: slavery
D: bad marriage
E: captivity",captivity,"['communism', 'oppression', 'slavery', 'bad marriage', '']",['captivity'],"Question: Sam treasured his freedom.  When he became a POW, he tried to escape from what?
Answer:
A: communism
B: oppression
C: slavery
D: bad marriage
E: ","Sam treasured his freedom.  When he became a (), he tried to escape from what?",POW
18,236,c3b6280d05a9f9c5b031fcbeaa0ce695,"Though nearby, an apple from an apple tree where would be an imported product to the USA?",apple tree,"['ohio', 'washington state', 'alaska', 'canada', 'flowers']",D,"A: ohio
B: washington state
C: alaska
D: canada
E: flowers",canada,"['ohio', '', 'alaska', 'canada', 'flowers']",['washington state'],"Question: Though nearby, an apple from an apple tree where would be an imported product to the USA?
Answer:
A: ohio
B: 
C: alaska
D: canada
E: flowers","Though nearby, an () from an () tree where would be an imported product to the USA?",apple
19,3350,daf313b39a95084a099ea8706f803061,"If a cottage is above the cloud line, where is it?",cottage,"['village', 'rural area', 'mountains', 'fairy story', 'valley']",C,"A: village
B: rural area
C: mountains
D: fairy story
E: valley",mountains,"['village', '', 'mountains', 'fairy story', 'valley']",['rural area'],"Question: If a cottage is above the cloud line, where is it?
Answer:
A: village
B: 
C: mountains
D: fairy story
E: valley","If a cottage is above the () line, where is it?",cloud
20,5254,bfaff48744a77de1fd5e91f809d86656,What do most people hope to achieve when playing sports?,playing sports,"['an mbe', 'running', 'winning', 'have fun', 'cheat']",C,"A: an mbe
B: running
C: winning
D: have fun
E: cheat",winning,"['an mbe', '', 'winning', 'have fun', 'cheat']",['running'],"Question: What do most people hope to achieve when playing sports?
Answer:
A: an mbe
B: 
C: winning
D: have fun
E: cheat",What do most people hope to achieve when playing ()?,sports
21,6087,3835b21ecc2c5c9317ea73aa57a5bc1c,When you haven't seen someone since they were young and years have passed what has happened to them?,young,"['senior', 'grow', 'mature', 'old', 'aged']",E,"A: senior
B: grow
C: mature
D: old
E: aged",aged,"['senior', 'grow', '', 'old', 'aged']",['mature'],"Question: When you haven't seen someone since they were young and years have passed what has happened to them?
Answer:
A: senior
B: grow
C: 
D: old
E: aged",When you haven't seen someone since they were young and () have passed what has happened to them?,years
22,8071,cf34c4f1f58776ea0ab49b91a35ca02c,"The man wanted a new ottoman, so where did he look?",ottoman,"['basement', 'furniture store', 'decoration', 'parlor', 'couch outlet']",B,"A: basement
B: furniture store
C: decoration
D: parlor
E: couch outlet",furniturestore,"['basement', 'furniture store', 'decoration', '', 'couch outlet']",['parlor'],"Question: The man wanted a new ottoman, so where did he look?
Answer:
A: basement
B: furniture store
C: decoration
D: 
E: couch outlet","The man wanted a new (), so where did he look?",ottoman
23,181,442dd2d372228b9942f55d761ef961a3,Where are there more telephone booths?,telephone booth,"['gas stations', 'city', 'london', 'train station', 'airport']",B,"A: gas stations
B: city
C: london
D: train station
E: airport",city,"['gas stations', 'city', 'london', '', 'airport']",['train station'],"Question: Where are there more telephone booths?
Answer:
A: gas stations
B: city
C: london
D: 
E: airport",Where are there more telephone ()?,booths
24,1973,876a2b6510b536f4f1aac16d59ff882c,Where does a car belong?,car,"['air port', 'repair shop', 'road', 'race track', 'freeway']",C,"A: air port
B: repair shop
C: road
D: race track
E: freeway",road,"['air port', 'repair shop', 'road', '', 'freeway']",['race track'],"Question: Where does a car belong?
Answer:
A: air port
B: repair shop
C: road
D: 
E: freeway",Where does a () belong?,car
25,8412,b17ba07ad5bb352166d409f33a69bbde,Where do most birds put eggs?,bird,"['nest', 'forest', 'cage', 'store', 'sky']",A,"A: nest
B: forest
C: cage
D: store
E: sky",nest,"['nest', 'forest', '', 'store', 'sky']",['cage'],"Question: Where do most birds put eggs?
Answer:
A: nest
B: forest
C: 
D: store
E: sky",Where do most birds put ()?,eggs
26,8285,697879acd78b80cb873af2643294f032,"Playing tennis requires at least one opponent, a ball, and a what?",playing tennis,"['skill', 'big money', 'time', 'tennis racket', 'legs']",D,"A: skill
B: big money
C: time
D: tennis racket
E: legs",tennisracket,"['skill', '', 'time', 'tennis racket', 'legs']",['big money'],"Question: Playing tennis requires at least one opponent, a ball, and a what?
Answer:
A: skill
B: 
C: time
D: tennis racket
E: legs","Playing tennis requires at least one (), a ball, and a what?",opponent
27,2983,c42d4a2a31a4442832074cd3c697a2cc,What would you be doing if you are having lunch?,having lunch,"['eating', 'hunger', 'burp', 'laughing', 'food']",A,"A: eating
B: hunger
C: burp
D: laughing
E: food",eating,"['eating', 'hunger', 'burp', 'laughing', '']",['food'],"Question: What would you be doing if you are having lunch?
Answer:
A: eating
B: hunger
C: burp
D: laughing
E: ",What would you be doing if you are having ()?,lunch
