original_question,masked_question,generated_question,matched,similarity_score
"Miranda wasn't sure about what she was doing, she just knew that she couldn't stop moving her smelly feet. This was a problem, because she was told to do what?",Miranda () () sure () () () () () () () () knew () () () () stop moving () smelly feet () () () () problem () () () () told () do () (),"Question: Miranda was sure she knew how to stop moving her smelly feet when the problem arose, who told her to do so?",False,60
"The police busted down his door, he realized only then he was just the pawn in his partner's grander what?",() police busted () () door () () realized () () () () () () pawn () () partner () grander () (),"Question: When the police busted the door, they realized something grander - a pawn shop partnership.",False,53
What kind of wine list can I expect to see in Paris?,() kind () wine list () () expect () see () Paris (),Question: What kind of wine list can you expect to see in Paris?,True,88
What performance is expected of a student in school sessions?,() performance () expected () () student () school sessions (),Question: How is the performance of expected from student during school sessions?,False,75
"The man was crass and rude, all the what in the office filed a complaint together?",() man () crass () rude () () () () () () office filed () complaint () (),Question: Which man acted crass and rude in the office and filed a complaint?,False,69
If a human is sleepy what can they do to feel more alert?,() () human () sleepy () () () do () feel () alert (),Question: How does human body regulate sleepy cycles to make you feel alert?,False,50
"When a person is convicted of committing murder, what happend to them?",() () person () convicted () committing murder () () happend () () (),"Question: Has a person been convicted of committing murder? If so, what happened next?",False,77
What is the hope of going fishing?,() () () hope () going fishing (),Question: Do you hope you're going fishing soon?,False,61
What does reading letters produce when one is unaware of a condition?,() () reading letters produce () () () unaware () () condition (),Question: What does reading letters produce in individuals unaware of their condition?,True,80
Everyone is ordinary but we are often told we are what?,Everyone () ordinary () () () () told () () () (),"Question: Everyone finds ordinary things beautiful, have you ever been told you're extraordinary too?",False,55
"If there are people watching a priest, what is he doing?",() () are people watching () priest () () () () doing (),Question: How many people are watching the priest while doing something?,False,61
What old models are likely to be made of wood?,() old models () likely () () made () wood (),Question: How old are models most likely made from wood?,False,65
"If an apple tree were in the North, where would it be?",() () apple tree () () () North () () () () () (),Question: How many apple trees are there in the North?,False,59
"The bald eagle has been a protected species, this is in part due to a dwindling what?",() bald eagle () () () protected species () () () () part () () () dwindling () (),Question: Is the bald eagle a federally protected species and part of the dwindling population?,False,68
What could you add a line to?,() () () add () line () (),Can you add a new line of code?,False,63
Going in an air conditioned room to cool off is a good way to get what from hot weather?,Going () () air conditioned room () cool () () () good way () () () () hot weather (),"Question: Going to an air conditioned room to cool off is a good way to beat hot weather, isn't it?",True,81
Where might a snake drop from?,() () () snake drop () (),Question: Can a snake drop from a tree?,False,61
"Sam treasured his freedom.  When he became a POW, he tried to escape from what?",Sam treasured () freedom () () () became () POW () () tried () escape () () (),Question: Sam treasured his freedom until he became a POW and tried to escape from captivity.,False,79
"Though nearby, an apple from an apple tree where would be an imported product to the USA?",() () () () apple () () apple tree () () () () imported product () () USA (),Question: What fruit grows on an apple tree and is a popular imported product in the USA?,False,60
"If a cottage is above the cloud line, where is it?",() () cottage () () () cloud line () () () () (),Question: What is the name of the cottage located along the cloud line?,False,50
What do most people hope to achieve when playing sports?,() () most people hope () achieve () playing sports (),Question: What do most people hope to achieve when playing sports?,True,92
When you haven't seen someone since they were young and years have passed what has happened to them?,() () () () seen someone () () () young () years () passed () () happened () () (),Question: Have you ever seen someone so young in years who passed away? What happened to them?,False,72
"The man wanted a new ottoman, so where did he look?",() man wanted () new ottoman () () () () () look (),Question: What man wanted a new ottoman to look?,False,69
Where are there more telephone booths?,() are () more telephone booths (),Question: Are there more telephone booths now?,False,79
Where does a car belong?,() () () car belong (),Question: What color does the car belong to?,False,62
Where do most birds put eggs?,() () most birds put eggs (),Question: Where do most birds put eggs?,True,85
"Playing tennis requires at least one opponent, a ball, and a what?",Playing tennis requires () least () opponent () () ball () () () () (),"Question: Playing tennis requires at least one opponent, a tennis ball, a racket, a court, and what else?",False,75
What would you be doing if you are having lunch?,() () () () doing () () () having lunch (),Question: What are you doing before having lunch today?,False,66
A hinged door is not always found in which room of the house?,() hinged door () () () found () () room () () house (),Question: What type of hinged door is typically found in a living room of a house?,False,66
Why could someone fall down after eating lunch?,() () someone fall () () eating lunch (),Question: Did someone fall while eating lunch today?,False,65
What is the opposite of ambiguous?,() () () opposite () ambiguous (),Question: What is the opposite of ambiguous?,True,87
What do people feel when something good happens?,() () people feel () something good happens (),Question: How do people feel when something good happens to them?,True,80
A modern farmer needs many skills common for who in order to manage finances and increase sales?,() modern farmer needs many skills common () () () order () manage finances () increase () (),Question: What modern farmer needs many skills common in order to manage finances and increase productivity?,True,80
Where in your office would you store a highlight that you don't use often?,() () () office () () store () highlight () () () () use () (),Question: What items do you typically keep in your office or store to highlight their use?,False,56
"She loved the music so much, how did she describe it?",() loved () music () () () () () () describe () (),Question: Who loved listening to music and how would you describe their taste?,False,56
Where would you store potato chips in their home?,() () () store potato chips () () home (),Question: Do you store potato chips at your home?,False,71
Why do people want to swim in the heat?,() () people want () swim () () heat (),Question: How many people want to swim in the heat?,False,76
"A snake is not something you want to come across on a plane, but it's most likely to happen while out in mother what?",() snake () () something () want () come () () () plane () () () () () likely () happen () () () mother () (),"Question: Can a snake swallow something you want to come across the plane, and is it likely to happen to your mother?",False,74
Where is known for powerful storms from the ocean?,() () known () powerful storms () () ocean (),Question: What are known as powerful storms in the ocean?,False,73
Thousands of companies and a rosebush call what place home?,Thousands () companies () () rosebush call () place () (),Question: Thousands of companies have a rosebush called (what) in place (where)?,False,79
Where could you see an advertisement while reading news?,() () () see () advertisement () reading news (),Question: Have you seen any interesting advertisement while reading news lately?,False,69
Most people won't always say what they mean.   They're twisty like that.  They want to avoid conflict. You have to use your brain if you want to understand.    What do most people due sometimes?,Most people () () () say () () mean () () () twisty () () () () want () avoid conflict () () have () use () brain () () want () understand () () () most people due () (),Question: Most people prefer to say what they mean rather than twisty their words. They want to avoid conflict and have to use their brain if they want to understand what most people due to them.,False,74
"The children were going to play, the parents encouraged it hoping it resulted in what?",() children () going () play () () parents encouraged () hoping () resulted () () (),"Question: How many children are going to play if their parents encouraged them, hoping for a positive result?",False,72
If you entire body is experiencing fatigue what would you do at the end of the day?,() () entire body () experiencing fatigue () () () do () () end () () day (),Question: Is your entire body currently experiencing fatigue and what can you do to end your day?,False,72
"if you cogitate on something for a long time, you can get this feeling?",() () cogitate () something () () long time () () () get () feeling (),Question: Have you been trying to cogitate about something for a long time to get a feeling?,False,71
"After answering questions from the press for hours, what did the police chief feel?",() answering questions () () press () hours () () () () police chief feel (),"Question: When answering questions during a press conference, how many hours did the police chief feel?",False,72
"A lawyer is taking care of proposals, what are they trying to do?",() lawyer () taking care () proposals () () () () trying () do (),Question: Is the lawyer currently taking care of proposals and trying to do something?,False,65
"When you want to go to bed with a pretty girl and want to get warm, what do you need to do?",() () want () go () bed () () pretty () () want () get warm () () () () need () do (),"Question: Do you want to go to bed when it's pretty cold and you want to get warm, or do you need to do something else?",False,75
"It is a teachers job to help students commit to memory new skills, what is the teachers main job in the classroom to help students do?",() () () teachers job () help students commit () () new skills () () () () teachers main job () () classroom () help students do (),Question: What do teachers job to help students commit to new skills? What is teachers main job in the classroom to help students do?,True,87
Where is aberdeen in the US located?,() () aberdeen () () US located (),"Question: Where is Aberdeen, a city in the US, located?",False,77
Where do students stick gum in school?,() () students stick gum () school (),How many students stick gum at school?,False,76
What is a method expressing yourself while making an object of lasting beauty?,() () () method expressing () () making () object () lasting beauty (),Question: What is the method expressing and making an object of lasting beauty?,True,80
James was dedicated to contemplating things.  What did he seek?,James () dedicated () contemplating things () () () () seek (),Question: James is dedicated to contemplating things that he seeks.,True,82
Where could I buy some chocolate?,() () () buy () chocolate (),Question: Where can I buy delicious chocolate?,False,66
"The police saw the moving car, what did they know the suspect was doing?",() police saw () moving car () () () () know () suspect () doing (),Question: Did the police see a moving car? What did they know the suspect was doing?,True,82
Where are you normally when you take a bath?,() () () () () () take () bath (),Question: How often do you take a bath?,False,55
where can someone get a new chess set?,() () someone get () new chess set (),Question: Where did someone get a new chess set from?,False,75
"When he was a small child he called the giraffe mascot a cow, it was a fond memory of the now defunct what?",() () () () small child () called () giraffe mascot () cow () () () () fond memory () () () defunct () (),Question: What do you remember about the small child who called the giraffe mascot a cow and left a fond memory of the defunct ()?,False,72
Where do lizards like to sun themselves?,() () lizards like () sun () (),Question: Do lizards like the sun for warmth?,False,61
Which state are you in if you're at a tennis court in a mitten-shaped state?,() state () () () () () () () () tennis court () () mitten () shaped state (),Question: Which state is known for its tennis court-shaped mitten-shaped state?,False,66
Where are you if your reading magazines while waiting for a vehicle on rails?,() () () () () reading magazines () waiting () () vehicle () rails (),Question: What do you enjoy doing while reading magazines and waiting for your vehicle at the rails?,False,66
Where might a bureau be in charge?,() () () bureau () () charge (),Question: What bureau is in charge?,False,64
What kind of leave did the manager assign all nonessential personnel?,() kind () leave () () manager assign () nonessential personnel (),Question: What kind of leave did the manager assign to the nonessential personnel?,True,87
When you meet interesting people your contacts list is likely to do what?,() () meet interesting people () contacts list () likely () do () (),Question: Where do you meet interesting people to add to your contacts list and how likely are you to do so?,False,73
What place could have one back garden?,() place () have () back garden (),Question: What place do you have in your back garden?,False,73
Where does a cast act?,() () () cast act (),Question: Can you identify the cast members who act in the () () () act?,False,26
