original_question,masked_question,generated_question,matched,similarity_score
"A fluorescent molecule of 1,000 daltons injected into one cell is observed to enter an adjacent cell by passing through a",() fluorescent molecule () () daltons injected () () cell () observed () enter () () cell () passing () (),Question: What fluorescent molecule of how many daltons injected into which type of cell was observed to enter the cell by passing through what?,False,77
Which of the following is not a true statement?,() () () following () () () true statement (),Question: What comes after a true statement?,False,57
Surveys of older adults who are living together show that they tend to view cohabitation as,Surveys () older adults () () living () show () () tend () view cohabitation (),Question: Surveys of older adults in assisted living facilities show they tend to view cohabitation (positively).,False,74
"Third-year student is studying contracts. He has learned that generally all contractual rights may be assigned, but there are some exceptions. Which of the following is not an exception?",Third () () student () studying contracts () () () learned () () () contractual rights () () assigned () () () are () exceptions () () () () following () () () exception (),"Question: Third-year law student currently studying contracts has learned that contractual rights can be assigned, but there are exceptions. What are the following exceptions to this rule?",False,77
The particular quality of the U.S. health care system is its:,() particular quality () () U.S. health care system () () (),Question: What particular quality defines the U.S. health care system and sets it apart from others?,False,70
"A 15-year-old male presents to the office with the complaint of painless swelling in the left testicle that has varied in size over the past several months. There is no history of trauma. The lesion transilluminates well, and no inguinal nodes are palpable. Findings from a testicular scan are normal. The most appropriate management includes",() () () year () old () presents () () office () () () () painless swelling () () left testicle () () varied () size () () past several months () () is () history () trauma () () lesion transilluminates () () () () inguinal nodes () palpable () Findings () () testicular scan () normal () () () appropriate management includes,"Question: How should a 36-year-old male present to the office with a painless swelling in his left testicle of varied size over the past several months, with no history of trauma, and a lesion that transilluminates, with no inguinal nodes palpable? Findings on testicular scan are normal. What is the appropriate management?",False,17
"A sister and brother own a ranch as joint tenants. If the sister transfers her interest by quitclaim deed to her friend without the brother's knowledge, what interest, if any, does the friend have in the ranch?",() sister () () own () ranch () joint tenants () () () sister transfers () interest () quitclaim deed () () friend () () brother () knowledge () () interest () () () () () () friend have () () ranch (),"Question: Does your sister own a ranch as joint tenants with a friend, and did she transfer her interest to her brother without his knowledge, leaving her friend with a share in the ranch?",False,56
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I buy dog food to feed my neighbors dog. Scenario 2 | I ate the produce after paying.",() () () () () () () () () character () () uses () () () () () () do something () () wrong () according () ordinary moral standards () () US () () () () Scenario () () () buy dog food () feed () neighbors dog () Scenario () () () ate () produce () paying (),Question: Which character from a TV show uses deception to do something morally wrong according to ordinary moral standards in the US? Scenario 1: They buy dog food to feed their neighbor's dog. Scenario 2: They ate produce without paying.,False,27
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I spent my afternoon peeing in the pool. Scenario 2 | I briefly shouted to my friend in the public theater as the movie played.",() () () () () scenarios () () main character () () () () () () () () () do something () () () () according () ordinary moral standards () () US () () () () Scenario () () () spent () afternoon peeing () () pool () Scenario () () () () shouted () () friend () () public theater () () movie played (),"Question: Can you recall any scenarios where the main character did something according to ordinary moral standards in the US? For example, in one scenario, they spent the afternoon peeing in a pool, and in another scenario, they shouted at a friend in a public theater while a movie played?",False,21
"A manager's competitor sent a defamatory letter to the manager accusing him of professional incompetence and calling him one of the worst businessmen in town. It was addressed to the manager. He read it, put it in a private drawer, and did not read it again. Later, he tried to sue the competitor for defamation as a result of the letter. Will the court likely grant the defendant's motion to dismiss, and on what grounds? Base your answer on the common law definition of defamation.",() manager () competitor sent () () letter () () manager accusing () () professional incompetence () () () () () () worst businessmen () town () () () addressed () () manager () () read () () put () () () private drawer () () () () read () () () () () () tried () sue () competitor () defamation () () result () () letter () () () court () grant () defendant () motion () dismiss () () () () grounds () Base () answer () () common law definition () defamation (),"Question: Did the manager's competitor send a formal letter to the manager accusing them of professional incompetence, labeling them as one of the worst businessmen in town, and addressing it to the manager, expecting them to read it and then putting it in their private drawer, only for someone else to read it and then try to sue the competitor for defamation, resulting in the court granting the defendant's motion to dismiss on what grounds? Based on the common law definition of defamation.",False,7
"A company owns and operates a chemical plant that manufactures paraquat, an herbicide used primarily as a weed killer. The plant is located in a rural area in the southwestern part of the state. In its production of paraquat, the company emits putrid smelling fumes throughout the surrounding countryside. Although the fumes are harmless to health, they are rank and highly offensive. Despite extensive research by the company to alleviate the problem, there is no known way to manufacture paraquat without discharging malodorous fumes into the air. An owner of a large dairy farm that is adjacent to the plant finds the foul-smelling herbicide fumes to be extremely unpleasant and totally objectionable. The owner brings an action based on private nuisance against the company and seeks to enjoin the manufacture of paraquat at the chemical plant. Which of the following facts, if proven, will be most helpful to the company's defense?",() company () () operates () () plant () manufactures paraquat () () herbicide used () () () weed () () () plant () located () () rural area () () southwestern part () () state () () () production () paraquat () () company emits putrid smelling fumes () () surrounding countryside () () () fumes () harmless () health () () () rank () () offensive () () extensive research () () company () alleviate () problem () () is () known way () manufacture paraquat () discharging malodorous fumes () () air () () owner () () large dairy farm () () adjacent () () plant finds () foul () smelling herbicide fumes () () () unpleasant () () objectionable () () owner brings () action based () private nuisance () () company () seeks () enjoin () manufacture () paraquat () () chemical plant () () () () following facts () () proven () () () () helpful () () company () defense (),"Question: Which company currently operates a chemical plant that manufactures paraquat, a herbicide used to control weed growth? The plant is located in a rural area in the southwestern part of the state. The production of paraquat by the company emits putrid smelling fumes that affect the surrounding countryside. Despite claims that the fumes are harmless to health, they rank as offensive. After extensive research, the company has not found a way to manufacture paraquat without discharging malodorous fumes into the air. The owner of a large dairy farm adjacent to the plant has found the foul-smelling herbicide fumes to be unpleasant and objectionable. As a result, the owner brings an action based on private nuisance, and the company seeks to enjoin the manufacture of paraquat at the chemical plant. Given the following facts, how can the company defend itself?",False,11
The GDP Deflator differs from the CPI in that the GDP Deflator,() GDP Deflator differs () () CPI () () () GDP Deflator,Question: How does the GDP Deflator differ from the CPI in calculating the GDP Deflator?,False,77
Da Vinci's Mona Lisa is_____.,Da Vinci () Mona Lisa is_____ (),Question: Da Vinci's famous Mona Lisa is displayed at which museum?,False,48
"Which of the following statements is true concerning variance decomposition analysis of VARs?

i) Variance decompositions measure the impact of a unit shock to each of the variables on the VAR

ii) Variance decompositions can be thought of as measuring the proportion of the forecast error variance that is attributable to each variable

iii) The ordering of the variables is important for calculating impulse responses but not variance decompositions

iv) It is usual that most of the forecast error variance for a given variable is attributable to shocks to that variable",() () () following statements () true concerning variance () analysis () VARs () () Variance decompositions measure () impact () () unit shock () () () () variables () () VAR () () Variance decompositions () () thought () () measuring () proportion () () forecast error variance () () attributable () () variable () () () ordering () () variables () important () calculating impulse responses () () variance decompositions () () () () usual () most () () forecast error variance () () given variable () attributable () shocks () () variable,Are the following statements true concerning variance in analysis using VARs? Variance decompositions measure the impact of a unit shock on variables in VAR. Variance decompositions are thought of as measuring the proportion of forecast error variance attributable to each variable. The ordering of variables is important in calculating impulse responses and variance decompositions. The usual and most forecast error variance for a given variable is attributable to shocks in that variable.,False,42
Papilloma viruses are characterised by what genetic feature?,Papilloma viruses () characterised () () genetic feature (),Question: Papilloma viruses are characterized by which genetic feature?,True,87
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I ate a slice of my friends tasty shoulder. Scenario 2 | I started a forest camp fire and burned some twigs and shrubs.",() () () () () scenarios () () main character () () () () () () () () () do something () () wrong () according () ordinary moral standards () () US () () () () Scenario () () () ate () slice () () friends tasty shoulder () Scenario () () () started () forest camp fire () burned () twigs () shrubs (),Question: Can you describe scenarios where the main character did something wrong according to ordinary moral standards in the US? Scenario one: Ate a slice of a friend's tasty shoulder. Scenario two: Started a forest campfire that burned twigs and shrubs.,False,23
"A defendant worked as a patent attorney in a law firm. Late one evening, she left the office and walked outside to her car. While in the parking lot, she noticed a gold watch lying on the ground. When the defendant picked it up, she immediately identified the watch as belonging to one of the other lawyers in her law firm. She took it home with her, intending to return it the next day. The following morning, however, the defendant decided to keep the watch, and did so. The defendant has committed",() defendant () () () patent attorney () () law () () () () evening () () left () office () walked () () () car () () () () parking lot () () noticed () gold watch lying () () ground () () () defendant picked () () () () () identified () watch () belonging () () () () other lawyers () () law firm () () took () () () () () intending () return () () next day () () following morning () () () () defendant decided () keep () watch () () did () () () defendant () committed,"Question: Did the defendant consult a patent attorney in the evening before leaving the office and walking to their car in the parking lot, where they noticed a gold watch lying on the ground? Subsequently, did the defendant pick up and identify the watch as belonging to one of the other lawyers at the law firm, intending to return it the next day, but the following morning decided to keep the watch, thus committing theft?",False,5
"Two law students were having lunch one afternoon when the first student said to the second, ""I'm thinking of selling my car. "" The second student replied, ""I might be interested in buying your car if the price is reasonable and I can convince my parents to float me a loan. "" The first student then grabbed a piece of paper and wrote the following on it:""I will sell you my car for $1,000. In exchange for $1 received this day, I agree that you can have one month from today's date to decide whether to accept this offer. ""The first student then signed the paper and handed it to the second student. The second student handed a one dollar bill to the first student and left. One week later, the second student succeeded in obtaining a $1,000 loan from his parents. He then telephoned the first student to accept the offer. Upon hearing the second student say hello, and before the second student could accept the offer, the first student said, ""I've changed my mind. I do not want to sell my car. ""Can the second student still accept the first student's offer?",() law students () () () () afternoon () () () () () () () second () () () () thinking () selling () car () () () second student replied () () () () () interested () buying () car () () price () reasonable () () () convince () parents () float () () loan () () () first student () grabbed () piece () paper () wrote () following () () () () () () sell () () car () () () () () exchange () () () received () day () () agree () () () have () month () today () date () decide () () accept () offer () () () first student () signed () paper () handed () () () second student () () second student handed () () dollar bill () () first student () left () () week () () () second student succeeded () obtaining () () () loan () () parents () () () telephoned () first student () accept () offer () () hearing () second student say () () () () () second student () accept () offer () () first student said () () () () changed () mind () () () () want () sell () car () () () () second student () accept () first student () offer (),"Question: How did the law students spend their afternoon discussing the possibility of selling a car, and what was the outcome of their negotiation?",False,13
