source,question,choices,answer,masked_question,masked_word_answer,source,url
Commonsense,"Miranda wasn't sure about what she was doing, she just knew that she couldn't stop moving her smelly feet. This was a problem, because she was told to do what?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['shoes', 'stay still', 'hands', 'walk', 'stink'], dtype=object)}",B,,,Commonsense,
Commonsense,"The police busted down his door, he realized only then he was just the pawn in his partner's grander what?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['scheme', 'chess game', 'chess set', 'business idea',
       'playing chess'], dtype=object)}",A,,,Commonsense,
Commonsense,What kind of wine list can I expect to see in Paris?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['restaurant', 'french', 'boston', 'canadian', 'resturant'],
      dtype=object)}",B,,,Commonsense,
Commonsense,What performance is expected of a student in school sessions?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['michigan', 'pass course', 'better grade', 'ask questions',
       'study history'], dtype=object)}",B,,,Commonsense,
Commonsense,"The man was crass and rude, all the what in the office filed a complaint together?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['lady', 'wifes husband', 'women', 'her', 'female person'],
      dtype=object)}",C,,,Commonsense,
Commonsense,If a human is sleepy what can they do to feel more alert?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['dream dreams', 'think critically', 'cross road', 'drink coffee',
       'drive a car'], dtype=object)}",D,,,Commonsense,
Commonsense,"When a person is convicted of committing murder, what happend to them?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['go to jail', 'imprisonment', 'sadness', 'prosecution',
       'incarceration'], dtype=object)}",E,,,Commonsense,
Commonsense,What is the hope of going fishing?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['getting food', 'wet clothes', 'getting drunk', 'catching fish',
       'wetness'], dtype=object)}",D,,,Commonsense,
Commonsense,What does reading letters produce when one is unaware of a condition?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['laughter', 'strain', 'realization', 'enlightenment', 'happiness'],
      dtype=object)}",C,,,Commonsense,
Commonsense,Everyone is ordinary but we are often told we are what?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['unbelievable', 'strange', 'special', 'ugly', 'exceptional'],
      dtype=object)}",C,,,Commonsense,
Commonsense,"If there are people watching a priest, what is he doing?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['on trial', 'drink coffee', 'believe in god', 'baptise',
       'say mass'], dtype=object)}",E,,,Commonsense,
Commonsense,What old models are likely to be made of wood?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['car', 'tree', 'hardware store', 'lumberyard', 'boat'],
      dtype=object)}",E,,,Commonsense,
Commonsense,"If an apple tree were in the North, where would it be?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['alaska', 'farm yard', 'park', 'flowers', 'new jersey'],
      dtype=object)}",E,,,Commonsense,
Commonsense,"The bald eagle has been a protected species, this is in part due to a dwindling what?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['nest', 'everglades', 'high places', 'in washington',
       'natural habitat'], dtype=object)}",E,,,Commonsense,
Commonsense,What could you add a line to?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['bus stop', 'graph', 'post office', 'grass', 'play'], dtype=object)}",B,,,Commonsense,
Commonsense,Going in an air conditioned room to cool off is a good way to get what from hot weather?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['rest', 'go swimming', 'relief', 'calm down', 'change'],
      dtype=object)}",C,,,Commonsense,
Commonsense,Where might a snake drop from?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['tree', 'pet shops', 'feild', 'tropical forest', 'cage'],
      dtype=object)}",A,,,Commonsense,
Commonsense,"Sam treasured his freedom.  When he became a POW, he tried to escape from what?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['communism', 'oppression', 'slavery', 'bad marriage', 'captivity'],
      dtype=object)}",E,,,Commonsense,
Commonsense,"Though nearby, an apple from an apple tree where would be an imported product to the USA?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['ohio', 'washington state', 'alaska', 'canada', 'flowers'],
      dtype=object)}",D,,,Commonsense,
Commonsense,"If a cottage is above the cloud line, where is it?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['village', 'rural area', 'mountains', 'fairy story', 'valley'],
      dtype=object)}",C,,,Commonsense,
Commonsense,What do most people hope to achieve when playing sports?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['an mbe', 'running', 'winning', 'have fun', 'cheat'], dtype=object)}",C,,,Commonsense,
Commonsense,When you haven't seen someone since they were young and years have passed what has happened to them?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['senior', 'grow', 'mature', 'old', 'aged'], dtype=object)}",E,,,Commonsense,
Commonsense,"The man wanted a new ottoman, so where did he look?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['basement', 'furniture store', 'decoration', 'parlor',
       'couch outlet'], dtype=object)}",B,,,Commonsense,
Commonsense,Where are there more telephone booths?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['gas stations', 'city', 'london', 'train station', 'airport'],
      dtype=object)}",B,,,Commonsense,
Commonsense,Where does a car belong?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['air port', 'repair shop', 'road', 'race track', 'freeway'],
      dtype=object)}",C,,,Commonsense,
Commonsense,Where do most birds put eggs?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['nest', 'forest', 'cage', 'store', 'sky'], dtype=object)}",A,,,Commonsense,
Commonsense,"Playing tennis requires at least one opponent, a ball, and a what?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['skill', 'big money', 'time', 'tennis racket', 'legs'],
      dtype=object)}",D,,,Commonsense,
Commonsense,What would you be doing if you are having lunch?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['eating', 'hunger', 'burp', 'laughing', 'food'], dtype=object)}",A,,,Commonsense,
Commonsense,A hinged door is not always found in which room of the house?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['jamb', 'own house', 'building', 'kitchen', 'washing machine'],
      dtype=object)}",D,,,Commonsense,
Commonsense,Why could someone fall down after eating lunch?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['drowsiness', 'late for work', 'feel full', 'lethargy',
       'feel sleepy'], dtype=object)}",E,,,Commonsense,
Commonsense,What is the opposite of ambiguous?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['clear', 'certain', 'distinct', 'blurry', 'explicit'], dtype=object)}",A,,,Commonsense,
Commonsense,What do people feel when something good happens?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['experience joy', 'believe in god', 'sadness', 'get sick',
       'ask questions'], dtype=object)}",A,,,Commonsense,
Commonsense,A modern farmer needs many skills common for who in order to manage finances and increase sales?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['harvesting', 'business man', 'city dweller', 'farm land',
       'industrial'], dtype=object)}",B,,,Commonsense,
Commonsense,Where in your office would you store a highlight that you don't use often?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['office supply store', 'case', 'desk drawer', 'campus book store',
       'lamp'], dtype=object)}",C,,,Commonsense,
Commonsense,"She loved the music so much, how did she describe it?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['silent', 'express emotion', 'beautifull', 'irritate',
       'quiet mind'], dtype=object)}",C,,,Commonsense,
Commonsense,Where would you store potato chips in their home?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['supermarket', 'toilet', 'pantry', 'bar', 'motherboard'],
      dtype=object)}",C,,,Commonsense,
Commonsense,Why do people want to swim in the heat?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['wear bathing suit', 'fun', 'excercise', 'cool down', 'exercise'],
      dtype=object)}",D,,,Commonsense,
Commonsense,"A snake is not something you want to come across on a plane, but it's most likely to happen while out in mother what?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['nature', 'pet shop', 'georgia', 'tropical forest', 'france'],
      dtype=object)}",A,,,Commonsense,
Commonsense,Where is known for powerful storms from the ocean?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['rain', 'weather report', 'tropics', 'summer', 'america'],
      dtype=object)}",C,,,Commonsense,
Commonsense,Thousands of companies and a rosebush call what place home?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['lawn', 'rose parade', 'backyard', 'delaware', 'planting'],
      dtype=object)}",D,,,Commonsense,
Commonsense,Where could you see an advertisement while reading news?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['television', 'bus', 'email', 'web page', 'la ville'], dtype=object)}",D,,,Commonsense,
