original_question,masked_question,generated_question,matched,similarity_score
"A fluorescent molecule of 1,000 daltons injected into one cell is observed to enter an adjacent cell by passing through a",() fluorescent molecule () () daltons injected () () cell () observed () enter () () cell () passing () (),What fluorescent molecule weighing 500 daltons is injected into a cell and observed to enter the adjacent cell without passing through the membrane?,False,79
Which of the following is not a true statement?,() () () following () () () true statement (),What is the following question asking for the true statement about?,False,67
Surveys of older adults who are living together show that they tend to view cohabitation as,Surveys () older adults () () living () show () () tend () view cohabitation (),Question: Surveys of older adults who are living together show that they tend to view cohabitation positively.,True,90
"Third-year student is studying contracts. He has learned that generally all contractual rights may be assigned, but there are some exceptions. Which of the following is not an exception?",Third () () student () studying contracts () () () learned () () () contractual rights () () assigned () () () are () exceptions () () () () following () () () exception (),"Question: Third-year law student Alex, studying contracts, has learned that contractual rights can be assigned, but there are exceptions. Which of the following is an exception?",True,85
The particular quality of the U.S. health care system is its:,() particular quality () () U.S. health care system () () (),What particular quality distinguishes the U.S. health care system from other countries?,False,70
"A 15-year-old male presents to the office with the complaint of painless swelling in the left testicle that has varied in size over the past several months. There is no history of trauma. The lesion transilluminates well, and no inguinal nodes are palpable. Findings from a testicular scan are normal. The most appropriate management includes",() () () year () old () presents () () office () () () () painless swelling () () left testicle () () varied () size () () past several months () () is () history () trauma () () lesion transilluminates () () () () inguinal nodes () palpable () Findings () () testicular scan () normal () () () appropriate management includes,"Question: A 25-year-old man presents to the office with a painless swelling in the left testicle that has varied in size over the past several months. There is no history of trauma, and the lesion transilluminates. No inguinal nodes are palpable. Findings on the testicular scan are normal. What is the appropriate management?",False,19
"A sister and brother own a ranch as joint tenants. If the sister transfers her interest by quitclaim deed to her friend without the brother's knowledge, what interest, if any, does the friend have in the ranch?",() sister () () own () ranch () joint tenants () () () sister transfers () interest () quitclaim deed () () friend () () brother () knowledge () () interest () () () () () () friend have () () ranch (),"What happens if a sister who owns a ranch as joint tenants with her sister transfers her interest via a quitclaim deed to a friend without her brother's knowledge, and what interest does the friend have in the ranch?",False,55
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I buy dog food to feed my neighbors dog. Scenario 2 | I ate the produce after paying.",() () () () () () () () () character () () uses () () () () () () do something () () wrong () according () ordinary moral standards () () US () () () () Scenario () () () buy dog food () feed () neighbors dog () Scenario () () () ate () produce () paying (),"Question: What is the term for a character who uses clever tactics to do something that is considered wrong according to ordinary moral standards in the US? For example, in Scenario A, they buy dog food to feed their neighbor's dog. In Scenario B, they ate produce without paying.",False,24
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I spent my afternoon peeing in the pool. Scenario 2 | I briefly shouted to my friend in the public theater as the movie played.",() () () () () scenarios () () main character () () () () () () () () () do something () () () () according () ordinary moral standards () () US () () () () Scenario () () () spent () afternoon peeing () () pool () Scenario () () () () shouted () () friend () () public theater () () movie played (),"Question: In which scenarios would the main character be compelled to do something that is considered wrong according to ordinary moral standards in the US? For example, Scenario 1: They spent the afternoon peeing in a public pool. Scenario 2: They shouted at a friend in a public theater while a movie played.",False,22
"A manager's competitor sent a defamatory letter to the manager accusing him of professional incompetence and calling him one of the worst businessmen in town. It was addressed to the manager. He read it, put it in a private drawer, and did not read it again. Later, he tried to sue the competitor for defamation as a result of the letter. Will the court likely grant the defendant's motion to dismiss, and on what grounds? Base your answer on the common law definition of defamation.",() manager () competitor sent () () letter () () manager accusing () () professional incompetence () () () () () () worst businessmen () town () () () addressed () () manager () () read () () put () () () private drawer () () () () read () () () () () () tried () sue () competitor () defamation () () result () () letter () () () court () grant () defendant () motion () dismiss () () () () grounds () Base () answer () () common law definition () defamation (),"Question: A manager received a letter from a competitor accusing the manager of professional incompetence and being one of the worst businessmen in town. The letter was addressed to the manager, who read it and then put it in a private drawer. The manager later read it again and then tried to sue the competitor for defamation. What is the result of the lawsuit, and will the court grant the defendant's motion to dismiss the case on the grounds of defamation? Base your answer on the common law definition of defamation.",False,3
