original_question,masked_question,generated_question,matched,similarity_score
Youngsville had a population of 684 people.  The town had a growth spurt and the population increased by 25% then they witnessed that 40% of the population moved away.  What is the current population?,Youngsville had () population () () people () () town had () growth spurt () () population increased () () % () () witnessed () () % () () population moved () () () () () current population (),"Youngsville had a population of 5,000 people until the town had a growth spurt when the population increased by 25% in 2020. They witnessed another 15% rise as new population moved into the area. What is the current population?",False,74
"Cilia wants to buy a multi-level dumbbell system.  The first pair of dumbbells are 3 lb weights, the second pair is 5 lb weights and the third is 8 lb pounds.  How much does the entire system weigh?",Cilia wants () () () multi-level dumbbell system () () first pair () dumbbells () () lb weights () () second pair () () lb weights () () third () () lb pounds () () much () () entire system weigh (),Cilia wants to build a multi-level dumbbell system with a first pair of dumbbells at 15 lb weights and a second pair at 25 lb weights and a third pair at 35 lb pounds. How much does the entire system weigh?,False,16
"Lydia is planning a road trip with her family and is trying to plan a route. She has 60 liters of fuel and she will use all of this during her trip. She isn't sure how much fuel she is going to use in the first third of the trip but she knows she will need a third of all of her fuel for the second third of the trip, and half this amount for the final third of the trip. How much fuel, in liters, can Lydia use in the first third of the trip?",Lydia () planning () () () () () family () () trying () plan () route () () has () liters () fuel () () () use () () () () () trip () () () () sure () much fuel () () going () use () () first third () () trip () () knows () () need () third () () () () fuel () () second third () () trip () () () () amount () () final third () () trip () () much fuel () () liters () () Lydia use () () first third () () trip (),Lydia is planning a trip with her family and is trying to plan a route. She has 60 liters of fuel she can use for the entire trip but is not sure how much fuel she is going to use for the first third of the trip. She knows she will need one third of the total fuel for the second third of the trip and the same amount for the final third of the trip. How much fuel in liters will Lydia use for the first third of the trip?,False,37
"Jack is stranded on a desert island. He wants some salt to season his fish. He collects 2 liters of seawater in an old bucket. If the water is 20% salt, how many ml of salt will Jack get when all the water evaporates?",Jack () stranded () () () island () () wants () salt () season () () () () collects () liters () seawater () () old bucket () () () water () () % salt () () many ml () salt () Jack get () () () water evaporates (),"Jack is stranded on a desert island and he wants some salt to season his food. He collects 5 liters of seawater in an old bucket. If the water contains 3.5% salt, how many ml of salt will Jack get when the water evaporates completely?",False,71
Monroe has a collection of ants and a collection of spiders. He has 8 spiders and 12 ants. He is wondering what the number of legs of the entire collection is.,Monroe () () collection () ants () () collection () spiders () () has () spiders () () ants () () () wondering () () number () legs () () entire collection () (),Monroe has a collection of 8 ants and a collection of 12 spiders in jars. He has 3 spiders and 5 ants in boxes. He is wondering the total number of legs in his entire collection of insects.,True,84
John attends a protest for 4 days.  He then attends a second protest for 25% longer than the first.  How many days did he spend protesting?,John attends () protest () () days () () () attends () second protest () () % longer () () first () () many days () () spend protesting (),John attends a protest for 6 days before he attends a second protest that is 50% longer than the first. How many days did he spend protesting total?,True,89
James buys 3 dirt bikes for $150 each and 4 off-road vehicles for $300 each.  It also cost him $25 to register each of these.  How much did he pay for everything?,James buys () dirt bikes () () () () () () () () road vehicles () () () () () () () cost () () () () register () () () () () much () () pay () everything (),"James buys 3 dirt bikes and 2 used road vehicles at a dealership, spending $12,000 in total. If each vehicle will cost him $200 to register and insure annually, how much did he pay for everything combined?",False,41
"Two runners are competing in a 10-mile race.  The first runs at an average pace of 8 minutes per mile, while the second runs at an average pace of 7 minutes per mile.  After 56 minutes, the second runner stops for a drink of water.  For how many minutes could the second runner remain stopped before the first runner catches up with him?",() runners () competing () () () () mile race () () first runs () () average pace () () minutes () mile () () () second runs () () average pace () () minutes () mile () () () minutes () () second runner stops () () drink () water () () () many minutes () () second runner remain stopped () () first runner catches () () () (),How many runners are competing in a 10 mile race when the first runs at an average pace of 8 minutes per mile and the second runs at an average pace of 7 minutes per mile if after 30 minutes the second runner stops to drink some water and then how many minutes must the second runner remain stopped until the first runner catches up to them?,False,29
"Jason goes to the library 4 times more often than William goes. If William goes 2 times per week to the library, how many times does Jason go to the library in 4 weeks?",Jason goes () () library () times () () () William goes () () William () () times () week () () library () () many times () Jason go () () library () () weeks (),Jason goes to the library 3 times per week while William goes too. William goes 2 times per week to the library. How many times does Jason go to the library in 4 weeks total?,True,88
"When Matty was born, the cost of a ticket to Mars was $1,000,000. The cost is halved every 10 years. How much will a ticket cost when Matty is 30?",() () () born () () cost () () ticket () Mars () () () () () cost () halved () () years () () much () () ticket cost () Matty () () (),How many people were born before the cost of a train ticket to Mars was introduced and if the cost is halved every five years how much will the ticket cost when Matty turns fifty?,False,71
"In the first team, Beth scored 12 while Jan scored 10. In the second team, Judy scored 8 while Angel scored 11. How many more points did the first team get than the second team?",() () first team () Beth scored () () Jan () () () () () second team () Judy scored () () Angel scored () () () many more points () () first team get () () second team (),"During the basketball game, the first team with Beth scored 24 points, Jan scored 18 points and Sam scored 12 points. The second team with Judy scored 15 points and Angel scored 21 points. How many more points did the first team get than the second team?",False,49
Jackson’s mom packs him a peanut butter and jelly sandwich for his school lunch on Wednesdays and Fridays. There are 36 weeks of school and Jackson has only missed 1 Wednesday and 2 Fridays. How many peanut butter and jelly sandwiches did he eat for lunch this school year?,Jackson () () packs () () peanut butter () jelly () () () school lunch () Wednesdays () Fridays () () are () weeks () school () Jackson () () missed () Wednesday () () Fridays () () many peanut butter () jelly sandwiches () () eat () lunch () school year (),Jackson usually packs a single peanut butter and jelly sandwich for school lunch on Wednesdays and Fridays. There are 36 weeks of school and Jackson has missed two Wednesday and three Fridays. How many peanut butter and jelly sandwiches did he eat for lunch this school year?,True,92
"Chastity bought 4 lollipops which cost $1.50 each, and she also bought 2 packs of gummies which cost $2 each. If she has $15, how much was she left with after spending on the candies?",Chastity bought () lollipops () cost () () () () () () () bought () packs () gummies () cost () () () () () () has () () () () much () () left () () spending () () candies (),Chastity bought 3 lollipops that cost 75 cents each and she bought 2 packs of gummies that cost 2 dollars each. How much money does she left after spending on the candies today?,False,77
"The local school is holding a big fair to raise money for 5 classes that want to go on a trip. 150 people came to the party and paid a total of $368 for entrance tickets. There was a raffle which brought in $343. The sale of cakes and drinks brought $279. At the end of the fair, the principal of the school shared the money raised between the 5 classes. How much money did each class receive?",() () () () holding () big fair () () money () () classes () want () go () () trip () () people came () () party () paid () total () () () () entrance tickets () () was () raffle () brought () () () () () sale () cakes () drinks brought () () () () () end () () fair () () principal () () school shared () money raised () () () classes () () much money () () class receive (),"How many dollars per class were holding the big fair when all money from both classes who want to go on their trip? 500 people came to the party and paid a total of $5 each for entrance tickets. There was a raffle that brought in $750 and the sale of cakes and drinks brought in $1,250. At the end of the fair, the principal of the school shared the money raised by the two classes. How much money did each class receive?",False,74
Tom decides to renovate a house.  There are 3 bedrooms and each bedroom takes 4 hours to renovate.  The kitchen takes 50% longer than each bedroom.  The living room took twice as much time as everything else combined.  How long did everything take?,Tom decides () renovate () house () () are () bedrooms () () bedroom takes () hours () renovate () () kitchen takes () % () () () bedroom () () living room took () () much time () everything () combined () () () () everything take (),Tom decides to renovate his house which has 3 bedrooms and each bedroom takes 4 hours to renovate and the kitchen takes 25% longer than the bedroom and the living room took twice as much time as everything else combined how long did everything take?,False,78
"Sandro has six times as many daughters as sons. If he currently has three sons, how many children does he have?",Sandro has () () () many daughters () sons () () () () has () sons () () many children () () have (),Sandro has twice as many daughters as sons and his sister has three sons but how many children does he have?,True,83
"Jennifer is building tanks to hold her goldfish. She built 3 tanks that will hold 15 fish each, heated, and filled them. She plans to build the rest of the tanks equipped with heaters, and they will hold 10 fish each. If she needs to build enough tanks to house a total of 75 fish, how many more will she need to build?",Jennifer () building tanks () hold () goldfish () () built () tanks () () hold () () () () heated () () filled () () () plans () build () rest () () tanks equipped () heaters () () () () hold () fish () () () () needs () build enough tanks () house () total () () fish () () many more () () need () build (),"Jennifer is building tanks to hold 6 goldfish each. She built 4 tanks that can hold 24 fish. She heated them and filled them up. She plans to build the rest of the tanks equipped with heaters and filters to hold 100 fish in total. If she needs to build enough tanks to house a total of 100 fish, how many more tanks does she need to build?",False,71
