original_question,masked_question,generated_question,matched,similarity_score
"A fluorescent molecule of 1,000 daltons injected into one cell is observed to enter an adjacent cell by passing through a",() fluorescent molecule () () daltons injected () () cell () observed () enter () () cell () passing () (),"The completed question is:
What happens when a fluorescent molecule is injected into a cell and observed as it enters and passes through the cell membrane?",False,58
Which of the following is not a true statement?,() () () following () () () true statement (),"The completed question is:
What is the primary function of the mitochondria in a cell, which is a crucial process that occurs () () () in the presence of oxygen, resulting in the production of () () () that provide energy for the cell's () () [] functions.",False,3
Surveys of older adults who are living together show that they tend to view cohabitation as,Surveys () older adults () () living () show () () tend () view cohabitation (),"The final question is: 
Surveys of older adults who are married show that they tend to view cohabitation as less desirable than cohabitation among younger adults.",False,62
"Third-year student is studying contracts. He has learned that generally all contractual rights may be assigned, but there are some exceptions. Which of the following is not an exception?",Third () () student () studying contracts () () () learned () () () contractual rights () () assigned () () () are () exceptions () () () () following () () () exception (),Third-party student studying contracts learned contractual rights assigned to the third party are exceptions to the general rule following the exception.,False,71
The particular quality of the U.S. health care system is its:,() particular quality () () U.S. health care system () () (),What are the main advantages of the U.S. health care system?,False,61
"A 15-year-old male presents to the office with the complaint of painless swelling in the left testicle that has varied in size over the past several months. There is no history of trauma. The lesion transilluminates well, and no inguinal nodes are palpable. Findings from a testicular scan are normal. The most appropriate management includes",() () () year () old () presents () () office () () () () painless swelling () () left testicle () () varied () size () () past several months () () is () history () trauma () () lesion transilluminates () () () () inguinal nodes () palpable () Findings () () testicular scan () normal () () () appropriate management includes,"1. Physical examination of the left testicle, 2. Ultrasound of the left testicle, 3. Imaging of the abdominal and pelvic area, 4. Biopsy of the left testicle, 5. Imaging of the inguinal canal, and 6. Biopsy of the inguinal canal contents. The appropriate management of a patient with a palpable left testicle, varied in size, and painless swelling, with a history of trauma, is to",False,12
"A sister and brother own a ranch as joint tenants. If the sister transfers her interest by quitclaim deed to her friend without the brother's knowledge, what interest, if any, does the friend have in the ranch?",() sister () () own () ranch () joint tenants () () () sister transfers () interest () quitclaim deed () () friend () () brother () knowledge () () interest () () () () () () friend have () () ranch (),"The completed question is: Does your sister own the ranch with her brother and friend as joint tenants, and has she transferred her interest in it to her brother and friend by a quitclaim deed?",False,41
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I buy dog food to feed my neighbors dog. Scenario 2 | I ate the produce after paying.",() () () () () () () () () character () () uses () () () () () () do something () () wrong () according () ordinary moral standards () () US () () () () Scenario () () () buy dog food () feed () neighbors dog () Scenario () () () ate () produce () paying (),"What is the moral of the story about the dog that ate the neighbor's vegetables? 

The moral of the story about the dog that ate the neighbor's vegetables is that the dog did something wrong according to ordinary moral standards because it ate something that did not belong to it. 

The moral of the story about the dog that ate the neighbor's vegetables is that the dog did something wrong according to ordinary moral standards because it ate something that did not belong to it. 

The moral of the story",False,12
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I spent my afternoon peeing in the pool. Scenario 2 | I briefly shouted to my friend in the public theater as the movie played.",() () () () () scenarios () () main character () () () () () () () () () do something () () () () according () ordinary moral standards () () US () () () () Scenario () () () spent () afternoon peeing () () pool () Scenario () () () () shouted () () friend () () public theater () () movie played (),Do you know someone who has ever been in a public place and been caught urinating? What are some common scenarios that might lead to someone being caught in such a situation? What are some common characteristics of the main character in such a situation? What are some common things that people might do or say when they get caught in such a situation? What are some common reasons why people might do or say these things? What are some common reactions of people who witness or discover the act of urinating,False,3
"A manager's competitor sent a defamatory letter to the manager accusing him of professional incompetence and calling him one of the worst businessmen in town. It was addressed to the manager. He read it, put it in a private drawer, and did not read it again. Later, he tried to sue the competitor for defamation as a result of the letter. Will the court likely grant the defendant's motion to dismiss, and on what grounds? Base your answer on the common law definition of defamation.",() manager () competitor sent () () letter () () manager accusing () () professional incompetence () () () () () () worst businessmen () town () () () addressed () () manager () () read () () put () () () private drawer () () () () read () () () () () () tried () sue () competitor () defamation () () result () () letter () () () court () grant () defendant () motion () dismiss () () () () grounds () Base () answer () () common law definition () defamation (),"What is the legal definition of defamation? 

Note: I've filled in the blanks with suitable terms to complete the question. The completed question is:

What is the legal definition of defamation?",False,12
