original_question,masked_question,generated_question,matched,similarity_score
Youngsville had a population of 684 people.  The town had a growth spurt and the population increased by 25% then they witnessed that 40% of the population moved away.  What is the current population?,Youngsville had () population () () people () () town had () growth spurt () () population increased () () % () () witnessed () () % () () population moved () () () () () current population (),"Here is the question with the masked sections completed:

Youngsville had a population of 8,500 people in 2010. The small town had a growth spurt and its population increased by 35% over the next decade. It witnessed a 22% influx as new population moved in from surrounding areas. The current population is approximately 11,475.",False,38
"Cilia wants to buy a multi-level dumbbell system.  The first pair of dumbbells are 3 lb weights, the second pair is 5 lb weights and the third is 8 lb pounds.  How much does the entire system weigh?",Cilia wants () () () multi-level dumbbell system () () first pair () dumbbells () () lb weights () () second pair () () lb weights () () third () () lb pounds () () much () () entire system weigh (),"Cilia wants to buy a new multi-level dumbbell system with the first pair of dumbbells having 10 lb weights each, the second pair having 15 lb weights each, and the third pair having 20 lb pounds each. How much would the entire system weigh in total?",False,38
"Lydia is planning a road trip with her family and is trying to plan a route. She has 60 liters of fuel and she will use all of this during her trip. She isn't sure how much fuel she is going to use in the first third of the trip but she knows she will need a third of all of her fuel for the second third of the trip, and half this amount for the final third of the trip. How much fuel, in liters, can Lydia use in the first third of the trip?",Lydia () planning () () () () () family () () trying () plan () route () () has () liters () fuel () () () use () () () () () trip () () () () sure () much fuel () () going () use () () first third () () trip () () knows () () need () third () () () () fuel () () second third () () trip () () () () amount () () final third () () trip () () much fuel () () liters () () Lydia use () () first third () () trip (),"Lydia is planning a long family vacation and trying to plan the most efficient route. She has 60 liters of fuel in her tank and needs to use it wisely for the entire trip. To make sure she has enough fuel, she is going to calculate how much fuel she will use for the first third of the trip. She knows she will need one third of the total fuel for the first third, another third for the second third of the trip, and the remaining amount for the final third of the trip. How much fuel in liters will Lydia use for the first third of her trip?",False,37
"Jack is stranded on a desert island. He wants some salt to season his fish. He collects 2 liters of seawater in an old bucket. If the water is 20% salt, how many ml of salt will Jack get when all the water evaporates?",Jack () stranded () () () island () () wants () salt () season () () () () collects () liters () seawater () () old bucket () () () water () () % salt () () many ml () salt () Jack get () () () water evaporates (),"Jack got stranded on a deserted island and he wants to extract salt to season his food. He collects 10 liters of seawater in an old bucket and lets the water evaporate. If seawater contains 3.5% salt by weight, how many ml of salt will Jack get after all the water evaporates?",False,49
Monroe has a collection of ants and a collection of spiders. He has 8 spiders and 12 ants. He is wondering what the number of legs of the entire collection is.,Monroe () () collection () ants () () collection () spiders () () has () spiders () () ants () () () wondering () () number () legs () () entire collection () (),"Here is the completed question with the masked words replaced:

Monroe's insect collection contains ants and his collection of arachnids contains spiders. If his collection has 200 spiders and 150 ants, he is now wondering what the total number of legs is in his entire collection of insects and arachnids.",False,33
John attends a protest for 4 days.  He then attends a second protest for 25% longer than the first.  How many days did he spend protesting?,John attends () protest () () days () () () attends () second protest () () % longer () () first () () many days () () spend protesting (),John attends (an anti-government) protest (every) (few) days (in his city). He also attends (a) second protest (that is) (25%) longer (than the) first (one). (How) many days (does he) spend protesting (in total)?,False,49
James buys 3 dirt bikes for $150 each and 4 off-road vehicles for $300 each.  It also cost him $25 to register each of these.  How much did he pay for everything?,James buys () dirt bikes () () () () () () () () road vehicles () () () () () () () cost () () () () register () () () () () much () () pay () everything (),"James buys two dirt bikes and three road vehicles. The total cost is $15,000. He needs to register them, but how much will he pay for everything in total?",False,68
"Two runners are competing in a 10-mile race.  The first runs at an average pace of 8 minutes per mile, while the second runs at an average pace of 7 minutes per mile.  After 56 minutes, the second runner stops for a drink of water.  For how many minutes could the second runner remain stopped before the first runner catches up with him?",() runners () competing () () () () mile race () () first runs () () average pace () () minutes () mile () () () second runs () () average pace () () minutes () mile () () () minutes () () second runner stops () () drink () water () () () many minutes () () second runner remain stopped () () first runner catches () () () (),"Here is the completed question with the masked words replaced:

Elite runners were competing in a grueling 26.2 mile race. The first runs at an average pace of 5.2 minutes per mile. The second runs at an average pace of 6.5 minutes per mile. After 90 minutes, the second runner stops for 2 minutes to drink some water. For how many minutes will the second runner remain stopped before the first runner catches up to him?",False,29
"Jason goes to the library 4 times more often than William goes. If William goes 2 times per week to the library, how many times does Jason go to the library in 4 weeks?",Jason goes () () library () times () () () William goes () () William () () times () week () () library () () many times () Jason go () () library () () weeks (),Jason goes to the library three times a week. William goes twice a week to the library. How many times does Jason go to the library in two weeks?,True,80
"When Matty was born, the cost of a ticket to Mars was $1,000,000. The cost is halved every 10 years. How much will a ticket cost when Matty is 30?",() () () born () () cost () () ticket () Mars () () () () () cost () halved () () years () () much () () ticket cost () Matty () () (),"What was Neil Armstrong born in 1930, how much did a return ticket to Mars cost in 1969, if the cost was halved in 10 years how much would a return ticket cost in 1979 for Matty to travel there?",False,61
