question,answer,extracted_terms,rel_info_generated,can_be_entailed
"Miranda wasn't sure about what she was doing, she just knew that she couldn't stop moving her smelly feet. This was a problem, because she was told to do what?",staystill,"['Miranda', 'sure', 'doing', 'just', 'stop', 'moving', 'feet', 'problem', 'told', 'do']","Miranda was just told about a problem that had been occurring recently. She was sure that she was doing everything right, yet the issue persisted. She was advised to stop what she was doing and reassess the situation. Miranda, however, was not one to just stop moving. She was always on her feet, always active, always ready to do what needed to be done. Despite the problem, she was determined to keep going, to keep moving forward. She was sure that she could find a solution, she just needed to figure out what to do next.",False
"The police busted down his door, he realized only then he was just the pawn in his partner's grander what?",scheme,"['grander what', 'busted', 'realized', 'only', 'then', 'just', 'pawn', 'partner']","In the grander scheme of things, John had always thought of himself as just a pawn in the corporate world. He was content with his role, believing that he was only a small part of a much larger game. However, one day, his partner, Sarah, busted into his office with a revelation that changed his perspective. She had been analyzing their company's structure and realized that their roles were far more significant than they had initially thought. It was then that John understood that he was not just a pawn, but a key player in the success of their business.",True
What kind of wine list can I expect to see in Paris?,french,"['wine list', 'wine', 'list', 'expect', 'see']","When you visit a high-end restaurant, you can expect to see a comprehensive wine list as part of their menu. This wine list is a curated selection of wines that the restaurant offers to its patrons. It usually includes a variety of wines, ranging from reds and whites to rosés and sparkling wines, each with their unique flavors and characteristics. The list is often organized by type, region, and price, making it easier for customers to choose a wine that suits their taste and budget. Some restaurants even employ sommeliers, wine experts who can guide you through the wine list and help you make an informed choice. So, the next time you dine out, don't hesitate to explore the wine list; you might discover a new favorite.",False
What performance is expected of a student in school sessions?,passcourse,"['student sessions', 'expected', 'student', 'school', 'sessions']","Student sessions are an integral part of the school system, designed to facilitate individual or group learning beyond the traditional classroom environment. These sessions are expected to be attended by students, as they often provide additional support, resources, and guidance to enhance their academic performance. The school usually schedules these sessions at convenient times, ensuring that every student has the opportunity to participate. The content of these sessions can vary, ranging from subject-specific tutorials, study skills workshops, to career guidance. Therefore, these student sessions are a valuable tool for students to maximize their educational experience and achieve their academic goals.",False
"The man was crass and rude, all the what in the office filed a complaint together?",women,"['man', 'crass', 'rude', 'office', 'complaint']","In the bustling corporate environment of the office, there was a man who was known for his crass behavior. His colleagues often found him to be rude, as he would interrupt meetings with inappropriate comments and show little respect for others' ideas. His lack of decorum was not only disruptive but also created an uncomfortable atmosphere in the workplace. This led to numerous complaints being lodged against him by his coworkers. Despite the high-pressure nature of their jobs, the employees believed that maintaining a respectful and considerate environment was crucial for productivity and morale. The man's crass and rude behavior was seen as a significant hindrance to this goal.",False
If a human is sleepy what can they do to feel more alert?,drinkcoffee,"['human', 'do', 'feel', 'more']","Humans are complex beings capable of a wide range of emotions and actions. The human capacity to feel is a fundamental aspect of our existence, allowing us to experience joy, sorrow, anger, fear, and many other emotions. These feelings often drive what we do, influencing our decisions and behaviors. For instance, a person might choose to donate to a charity because they feel empathy for those in need, or someone might decide to study more for an exam because they feel anxious about their performance. The more we understand about our feelings, the more effectively we can navigate our actions. This interplay between what humans do and feel is a critical component of our psychological and social lives.",False
"When a person is convicted of committing murder, what happend to them?",incarceration,"['person', 'convicted', 'committing', 'happend']","In the legal system, when a person is accused of committing a crime, they are put on trial where evidence is presented and evaluated. If the evidence is strong enough to prove beyond a reasonable doubt that the person did indeed commit the crime, they are then convicted by the court. The conviction is a formal declaration from the court that the person is guilty of the crime they were accused of. For instance, if a person was accused of theft, the court would examine the evidence, such as surveillance footage, witness testimonies, or physical evidence. If it is determined that the theft indeed happened and the person in question was responsible, they would be convicted of the crime.",False
What is the hope of going fishing?,catchingfish,"['hope', 'going', 'fishing']","John, filled with hope, was going fishing for the first time in his life. He had always been fascinated by the idea of sitting by the water, patiently waiting for a catch. He had heard stories from his friends about the thrill of the tug on the line and the fight to reel in a big one. Now, it was his turn to experience it. He had prepared himself with all the necessary gear and had studied various fishing techniques. The hope of catching a fish was not just about the thrill for him, it was also a metaphor for his life - a symbol of patience, perseverance, and the joy of reaping the rewards of one's efforts.",True
What does reading letters produce when one is unaware of a condition?,realization,"['letters', 'produce', 'when', 'unaware', 'condition']","When individuals produce letters, they often do so unaware of the condition of their handwriting. This condition, known as dysgraphia, can affect a person's ability to write legibly and at a normal speed. It's a neurological disorder that can make writing letters a challenging task. Many people are unaware that they have this condition until they struggle with tasks that involve writing. It's important to seek professional help when one notices consistent difficulties in producing letters, as early intervention can lead to significant improvements.",False
Everyone is ordinary but we are often told we are what?,special,"['ordinary', 'often', 'told']","In the realm of the ordinary, life often unfolds in patterns that are predictable and comfortable. People are told what to expect from their daily routines, from the time they wake up, go to work, until they retire for the night. This cycle is often repeated, forming the backbone of what we consider to be an ordinary life. However, it is within this ordinary existence that extraordinary moments often occur. These are the moments that people are not often told about, the unexpected surprises that break the monotony and make life truly worth living.",False
