question,choices,answer
"Miranda wasn't sure about what she was doing, she just knew that she couldn't stop moving her smelly feet. This was a problem, because she was told to do what?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['shoes', 'stay still', 'hands', 'walk', 'stink'], dtype=object)}",B
"The police busted down his door, he realized only then he was just the pawn in his partner's grander what?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['scheme', 'chess game', 'chess set', 'business idea',
       'playing chess'], dtype=object)}",A
What kind of wine list can I expect to see in Paris?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['restaurant', 'french', 'boston', 'canadian', 'resturant'],
      dtype=object)}",B
What performance is expected of a student in school sessions?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['michigan', 'pass course', 'better grade', 'ask questions',
       'study history'], dtype=object)}",B
"The man was crass and rude, all the what in the office filed a complaint together?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['lady', 'wifes husband', 'women', 'her', 'female person'],
      dtype=object)}",C
If a human is sleepy what can they do to feel more alert?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['dream dreams', 'think critically', 'cross road', 'drink coffee',
       'drive a car'], dtype=object)}",D
"When a person is convicted of committing murder, what happend to them?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['go to jail', 'imprisonment', 'sadness', 'prosecution',
       'incarceration'], dtype=object)}",E
What is the hope of going fishing?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['getting food', 'wet clothes', 'getting drunk', 'catching fish',
       'wetness'], dtype=object)}",D
What does reading letters produce when one is unaware of a condition?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['laughter', 'strain', 'realization', 'enlightenment', 'happiness'],
      dtype=object)}",C
Everyone is ordinary but we are often told we are what?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['unbelievable', 'strange', 'special', 'ugly', 'exceptional'],
      dtype=object)}",C
"If there are people watching a priest, what is he doing?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['on trial', 'drink coffee', 'believe in god', 'baptise',
       'say mass'], dtype=object)}",E
What old models are likely to be made of wood?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['car', 'tree', 'hardware store', 'lumberyard', 'boat'],
      dtype=object)}",E
"If an apple tree were in the North, where would it be?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['alaska', 'farm yard', 'park', 'flowers', 'new jersey'],
      dtype=object)}",E
"The bald eagle has been a protected species, this is in part due to a dwindling what?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['nest', 'everglades', 'high places', 'in washington',
       'natural habitat'], dtype=object)}",E
What could you add a line to?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['bus stop', 'graph', 'post office', 'grass', 'play'], dtype=object)}",B
Going in an air conditioned room to cool off is a good way to get what from hot weather?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['rest', 'go swimming', 'relief', 'calm down', 'change'],
      dtype=object)}",C
Where might a snake drop from?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['tree', 'pet shops', 'feild', 'tropical forest', 'cage'],
      dtype=object)}",A
"Sam treasured his freedom.  When he became a POW, he tried to escape from what?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['communism', 'oppression', 'slavery', 'bad marriage', 'captivity'],
      dtype=object)}",E
"Though nearby, an apple from an apple tree where would be an imported product to the USA?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['ohio', 'washington state', 'alaska', 'canada', 'flowers'],
      dtype=object)}",D
"If a cottage is above the cloud line, where is it?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['village', 'rural area', 'mountains', 'fairy story', 'valley'],
      dtype=object)}",C
What do most people hope to achieve when playing sports?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['an mbe', 'running', 'winning', 'have fun', 'cheat'], dtype=object)}",C
When you haven't seen someone since they were young and years have passed what has happened to them?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['senior', 'grow', 'mature', 'old', 'aged'], dtype=object)}",E
"The man wanted a new ottoman, so where did he look?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['basement', 'furniture store', 'decoration', 'parlor',
       'couch outlet'], dtype=object)}",B
Where are there more telephone booths?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['gas stations', 'city', 'london', 'train station', 'airport'],
      dtype=object)}",B
Where does a car belong?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['air port', 'repair shop', 'road', 'race track', 'freeway'],
      dtype=object)}",C
Where do most birds put eggs?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['nest', 'forest', 'cage', 'store', 'sky'], dtype=object)}",A
"Playing tennis requires at least one opponent, a ball, and a what?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['skill', 'big money', 'time', 'tennis racket', 'legs'],
      dtype=object)}",D
