question,answer,masked_question,masked_word_answer
Youngsville had a population of 684 people.  The town had a growth spurt and the population increased by 25% then they witnessed that 40% of the population moved away.  What is the current population?,"The town had 684 people then had a 25% growth spurt increasing the population by 684*.25 = 171 people
The town had 684 people then they added 171 people bringing the population to 684+171 = <<684+171=855>>855 people
There were 855 people and 40% moved away so it decreased by 855*.40 = 342
The population was 855 and 342 people moved away making the new population 855-342 = <<855-342=513>>513 people
#### 513",Youngsville had a population of 684 people.  The town had a growth () and the population increased by 25% then they witnessed that 40% of the population moved away.  What is the current population?,spurt
"Bill is stocking the kitchenware section of the Walmart. He needs to stack 60 pots. On each shelf, he can stack five pots vertically and three sets of vertically stacked pots side-by-side. How many shelves does he need to stock all the pots?","First find how many pots fit on one shelf: 5 pots/set * 3 sets = <<5*3=15>>15 pots
Then divide the number of pots Bill has by the number that fit on each shelf: 60 pots / 15 pots/shelf = <<60/15=4>>4 shelves
#### 4","Bill is stocking the kitchenware section of the Walmart. He needs to stack 60 pots. On each shelf, he can stack five pots vertically and three () of vertically stacked pots side-by-side. How many shelves does he need to stock all the pots?",sets
"Cilia wants to buy a multi-level dumbbell system.  The first pair of dumbbells are 3 lb weights, the second pair is 5 lb weights and the third is 8 lb pounds.  How much does the entire system weigh?","The first pair of weights weighs 3 lb each so all total they weigh 2*3 = <<3*2=6>>6 lbs
The second pair of weights weigh 5 lbs each so they weigh 2*5 = <<5*2=10>>10 lbs
The third pair of weights weigh 8 lbs each so they weigh 2*8 = <<8*2=16>>16lbs
All total, the entire system of weights weigh 6+10+16 = <<6+10+16=32>>32 lbs
#### 32","Cilia wants to buy a multi-level dumbbell system.  The first () of dumbbells are 3 lb weights, the second () is 5 lb weights and the third is 8 lb pounds.  How much does the entire system weigh?",pair
"Lydia is planning a road trip with her family and is trying to plan a route. She has 60 liters of fuel and she will use all of this during her trip. She isn't sure how much fuel she is going to use in the first third of the trip but she knows she will need a third of all of her fuel for the second third of the trip, and half this amount for the final third of the trip. How much fuel, in liters, can Lydia use in the first third of the trip?","In the second third of the trip, Lydia is going to use 60 liters of fuel / 3 = <<60/3=20>>20 liters of fuel.
In the final third of the trip, she needs half of this amount so she is going to be using 20 liters / 2 = <<20/2=10>>10 liters of fuel.
So in the first third, Lydia used the remaining amount of fuel which is 60 total liters of fuel – 20 liters of fuel in the second third – 10 liters of fuel in the final third = <<60-20-10=30>>30 liters of fuel.
#### 30","Lydia is planning a road trip with her family and is trying to plan a route. She has 60 liters of () and she will use all of this during her trip. She isn't sure how much () she is going to use in the first third of the trip but she knows she will need a third of all of her () for the second third of the trip, and half this amount for the final third of the trip. How much (), in liters, can Lydia use in the first third of the trip?",fuel
"Jack is stranded on a desert island. He wants some salt to season his fish. He collects 2 liters of seawater in an old bucket. If the water is 20% salt, how many ml of salt will Jack get when all the water evaporates?","First find how many liters of the seawater are salt: 2 liters * 20% = <<2*20*.01=.4>>.4 liters
Then multiply that amount by 1000 ml/liter to find the number of ml of salt Jack gets: .4 liters * 1000 ml/liter = <<.4*1000=400>>400 ml
#### 400","Jack is stranded on a desert island. He wants some salt to season his (). He collects 2 liters of seawater in an old bucket. If the water is 20% salt, how many ml of salt will Jack get when all the water evaporates?",fish
Monroe has a collection of ants and a collection of spiders. He has 8 spiders and 12 ants. He is wondering what the number of legs of the entire collection is.,"The ants have 72 legs because 12 times 6 equals <<12*6=72>>72
The spiders have 64 legs because 8 times 8 equals <<8*8=64>>64.
There are a total of 136 legs because 72 plus 64 equals <<72+64=136>>136.
#### 136",Monroe has a collection of ants and a collection of spiders. He has 8 spiders and 12 ants. He is wondering what the () of legs of the entire collection is.,number
John attends a protest for 4 days.  He then attends a second protest for 25% longer than the first.  How many days did he spend protesting?,"The second protest was 4*.25=<<4*.25=1>>1 day longer than the first.
So the second protest was 4+1=<<4+1=5>>5 days.
Thus he spent 4+5=<<4+5=9>>9 days protesting.
#### 9",John attends a protest for 4 ().  He then attends a second protest for 25% longer than the first.  How many () did he spend protesting?,days
James buys 3 dirt bikes for $150 each and 4 off-road vehicles for $300 each.  It also cost him $25 to register each of these.  How much did he pay for everything?,"The dirtbikes cost 3*150=$<<3*150=450>>450
The off-road vehicles cost 300*4=$<<300*4=1200>>1200
He had to register 3+4=<<3+4=7>>7 vehicles
That means registration cost 25*7=$<<25*7=175>>175
So the total cost of everything was 450+1200+175=$<<450+1200+175=1825>>1825
#### 1825",James buys 3 dirt bikes for $150 each and 4 off-() vehicles for $300 each.  It also cost him $25 to register each of these.  How much did he pay for everything?,road
"Two runners are competing in a 10-mile race.  The first runs at an average pace of 8 minutes per mile, while the second runs at an average pace of 7 minutes per mile.  After 56 minutes, the second runner stops for a drink of water.  For how many minutes could the second runner remain stopped before the first runner catches up with him?","After 56 minutes, the second runner has traveled 56/7 = <<56/7=8>>8 miles.
Similarly, the first runner has traveled 56/8 = <<56/8=7>>7 miles.
Therefore, the two runners are 8 - 7 = <<8-7=1>>1 mile apart when the second runner stops.
Thus, the second runner can stop for a maximum of 8 minutes, which is the amount of time it takes the first runner to travel 1 mile.
#### 8","Two runners are competing in a 10-mile race.  The first runs at an average pace of 8 minutes per mile, while the second runs at an average pace of 7 minutes per mile.  After 56 minutes, the second runner stops for a () of water.  For how many minutes could the second runner remain stopped before the first runner catches up with him?",drink
"Jason goes to the library 4 times more often than William goes. If William goes 2 times per week to the library, how many times does Jason go to the library in 4 weeks?","The number of times Jason goes to the library per week is 4 * 2 = <<4*2=8>>8 times.
The number of times he goes to the library in 4 weeks is 8 * 4 = <<8*4=32>>32 times.
#### 32","Jason goes to the library 4 times more often than William goes. If William goes 2 times per () to the library, how many times does Jason go to the library in 4 ()s?",week
